Day,ActiveMode,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,ActiveNorm,Rain
0,65088,0,0,65088,1
1,64728,184,1330,65874,0
2,56142,141,9782,65783,1
3,56142,141,6197,62198,1
7,56142,141,6197,62198,1
8,61953,1659,1904,62198,0
9,56142,141,7475,63476,1
10,61953,1660,1904,62197,0
14,61953,381,1904,63476,0
15,56144,141,7473,63476,1
16,61953,1658,1904,62199,0
17,61953,381,1904,63476,0
21,56144,141,7473,63476,1
22,61953,1658,1904,62199,0
23,56144,141,7473,63476,1
24,56144,141,6196,62199,1
28,61953,1658,1904,62199,0
29,56144,141,7473,63476,1
30,56144,141,6196,62199,1
31,61953,1658,1904,62199,0
35,61953,381,1904,63476,0
36,56144,141,7473,63476,1
37,56144,141,6196,62199,1
38,56144,141,6196,62199,1
42,61953,1658,1904,62199,0
43,61953,381,1904,63476,0
44,56144,141,7473,63476,1
45,61953,1658,1904,62199,0
49,61953,381,1904,63476,0
50,61953,381,1904,63476,0
51,56144,141,7473,63476,1
52,61953,1658,1904,62199,0
56,61953,381,1904,63476,0
57,61953,381,1904,63476,0
58,61953,381,1904,63476,0
59,61953,381,1904,63476,0
63,61953,381,1904,63476,0
64,61953,381,1904,63476,0
65,61953,381,1904,63476,0
66,61953,381,1904,63476,0
70,61953,381,1904,63476,0
71,56144,141,7473,63476,1
72,56144,141,6196,62199,1
73,61953,1658,1904,62199,0
77,61953,381,1904,63476,0
78,61953,381,1904,63476,0
79,61953,381,1904,63476,0
80,56144,141,7473,63476,1
84,61953,1658,1904,62199,0
85,56144,141,7473,63476,1
86,61953,1658,1904,62199,0
87,61953,381,1904,63476,0
91,56144,141,7473,63476,1
92,61953,1658,1904,62199,0
93,61953,381,1904,63476,0
94,61953,381,1904,63476,0
98,61953,381,1904,63476,0
99,61953,381,1904,63476,0
100,61953,381,1904,63476,0
101,56144,141,7473,63476,1
105,56144,141,6196,62199,1
106,61953,1658,1904,62199,0
107,61953,381,1904,63476,0
108,61953,381,1904,63476,0
112,61953,381,1904,63476,0
113,61953,381,1904,63476,0
114,61953,381,1904,63476,0
115,61953,381,1904,63476,0
119,61953,381,1904,63476,0
120,56144,141,7473,63476,1
121,56144,141,6196,62199,1
122,56144,141,6196,62199,1
