Day,Rain,ActiveMode,ActiveNorm,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,LocalCommute,CityCommute,DistantCommute,Subculture A,Subculture B,Subculture C,0,1,4,3
0,0,49393,49393,0,0,28723,20670,0,16440,0,32953,8229,12315,12482,16367
1,0,49385,42598,24153,17366,28723,20662,0,16440,0,32945,8226,12310,12482,16367
2,1,37361,42595,16772,22006,27122,10239,0,14127,0,23234,4058,6771,11653,14879
3,0,48878,17641,37284,6047,28703,20175,0,16419,0,32459,8024,12008,12480,16366
4,1,37313,41776,16926,21389,27086,10227,0,14087,0,23226,4058,6737,11647,14871
7,0,47505,17539,35974,6008,28582,18923,0,16283,0,31222,7453,11265,12459,16328
8,0,48002,39318,24252,15568,28638,19364,0,16341,0,31661,7603,11602,12461,16336
9,0,48004,40305,23742,16043,28638,19366,0,16341,0,31663,7603,11604,12461,16336
10,1,37192,40304,17258,20370,27014,10178,0,13997,0,23195,4058,6670,11625,14839
11,0,45606,17368,34218,5980,28328,17278,0,15981,0,29625,6745,10224,12417,16220
14,1,36719,34917,18647,16845,26733,9986,0,13649,0,23070,4058,6404,11564,14693
15,1,35461,16410,26020,6969,25967,9494,0,12676,0,22785,4056,5679,11455,14271
16,1,35103,14359,26632,5888,25760,9343,0,12404,0,22699,4056,5475,11449,14123
17,1,34962,13741,26812,5591,25677,9285,0,12291,0,22671,4056,5397,11439,14070
18,1,34920,13538,26890,5508,25651,9269,0,12254,0,22666,4056,5371,11438,14055
21,1,34903,13484,26899,5480,25643,9260,0,12242,0,22661,4056,5363,11438,14046
22,0,35269,13464,27279,5474,25843,9426,0,12517,0,22752,4058,5565,11455,14191
23,0,35273,14033,26969,5729,25846,9427,0,12521,0,22752,4058,5568,11455,14192
24,0,35273,14044,26964,5735,25846,9427,0,12521,0,22752,4058,5568,11455,14192
25,0,35273,14059,26950,5736,25846,9427,0,12521,0,22752,4058,5568,11455,14192
28,0,35273,14061,26945,5733,25846,9427,0,12521,0,22752,4058,5568,11455,14192
29,0,35273,14048,26966,5741,25846,9427,0,12521,0,22752,4058,5568,11455,14192
