Day,Rain,ActiveMode,ActiveNorm,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,LocalCommute,CityCommute,DistantCommute,Subculture A,Subculture B,Subculture C,0,1,2,3
0,0,45137,45137,0,0,24542,20595,0,12278,0,32859,8271,12374,8187,16305
1,0,43100,27469,26237,10606,24542,18558,0,12278,0,30822,8256,12370,6169,16305
2,1,29344,24923,17769,13348,22424,6920,0,10296,0,19048,4129,6887,3311,15017
3,0,40299,8072,34928,2701,24501,15798,0,12253,0,28046,7634,12119,4241,16305
4,1,28768,21665,18424,11321,21866,6902,0,10249,0,18519,4127,6844,2794,15003
7,0,38106,7780,32991,2665,24296,13810,0,12154,0,25952,6439,11399,3986,16282
8,0,38526,18654,26949,7077,24346,14180,0,12205,0,26321,6559,11686,3989,16292
9,0,38528,19260,26598,7330,24348,14180,0,12207,0,26321,6559,11688,3989,16292
10,1,28511,19270,19042,9801,21669,6842,0,10138,0,18373,4127,6764,2675,14945
11,0,35836,7570,30880,2614,23879,11957,0,11937,0,23899,5467,10409,3740,16220
14,1,27889,15326,19929,7366,21188,6701,0,9723,0,18166,4124,6406,2554,14805
15,1,26835,6973,22935,3073,20448,6387,0,8871,0,17964,4123,5727,2494,14491
16,1,26528,6035,23050,2557,20249,6279,0,8630,0,17898,4123,5531,2491,14383
17,1,26410,5774,23061,2425,20169,6241,0,8532,0,17878,4123,5453,2490,14344
18,1,26364,5710,23043,2389,20135,6229,0,8493,0,17871,4123,5420,2490,14331
21,1,26339,5660,23045,2366,20122,6217,0,8474,0,17865,4123,5407,2490,14319
22,0,26631,5635,23355,2359,20308,6323,0,8710,0,17921,4123,5592,2490,14426
23,0,26633,5878,23227,2472,20310,6323,0,8712,0,17921,4123,5594,2490,14426
24,0,26633,5884,23228,2479,20310,6323,0,8712,0,17921,4123,5594,2490,14426
25,0,26633,5877,23226,2470,20310,6323,0,8712,0,17921,4123,5594,2490,14426
28,0,26633,5870,23240,2477,20310,6323,0,8712,0,17921,4123,5594,2490,14426
29,0,26633,5878,23230,2475,20310,6323,0,8712,0,17921,4123,5594,2490,14426
30,0,26633,5866,23234,2467,20310,6323,0,8712,0,17921,4123,5594,2490,14426
31,1,24508,5882,21119,2493,19217,5291,0,7413,0,17095,4122,4800,2195,13391
32,0,26621,4098,24273,1750,20302,6319,0,8701,0,17920,4123,5586,2490,14422
35,1,24506,5873,21122,2489,19217,5289,0,7412,0,17094,4122,4800,2195,13389
36,0,26519,4103,24166,1750,20235,6284,0,8618,0,17901,4123,5521,2490,14385
37,1,24461,5781,21117,2437,19198,5263,0,7380,0,17081,4122,4781,2195,13363
38,1,24237,4064,21915,1742,19109,5128,0,7236,0,17001,4122,4714,2174,13227
39,1,24219,3951,21959,1691,19105,5114,0,7223,0,16996,4122,4711,2174,13212
42,1,24217,3932,21978,1693,19104,5113,0,7222,0,16995,4122,4710,2174,13211
43,0,24483,3946,22228,1691,19203,5280,0,7397,0,17086,4122,4791,2191,13379
44,0,24484,4093,22139,1748,19204,5280,0,7398,0,17086,4122,4792,2191,13379
45,0,24484,4104,22136,1756,19204,5280,0,7398,0,17086,4122,4792,2191,13379
46,0,24484,4100,22143,1759,19204,5280,0,7398,0,17086,4122,4792,2191,13379
49,0,24484,4096,22145,1757,19204,5280,0,7398,0,17086,4122,4792,2191,13379
50,1,23318,4097,20983,1762,18830,4488,0,6753,0,16565,4121,4567,2050,12580
51,1,23209,3283,21372,1446,18796,4413,0,6689,0,16520,4121,4545,2043,12500
