Day,Rain,ActiveMode,ActiveNorm,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,LocalCommute,CityCommute,DistantCommute,Subculture A,Subculture B,Subculture C,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,74000,74000,0,0,20715,49567,3718,24625,24593,24782,3765,3709,3625,3628,3768,3712,3643,3637,3624,3709,3670,3647,3778,3675,3812,3748,3677,3696,3789,3688
1,0,42578,93322,15240,65984,23217,19361,0,14175,13801,14602,1628,734,3405,1441,2345,1506,4153,1197,643,1604,4346,4227,1347,1606,1185,2903,4377,1371,2113,447
2,0,43389,17209,36097,9917,23675,19714,0,14494,13918,14977,1519,964,3253,1440,2333,1719,4003,1440,871,1523,4370,4068,1269,1709,1456,2887,4413,1275,2130,747
3,0,43044,18083,35477,10516,23628,19416,0,14386,13754,14904,1526,908,3253,1437,2329,1728,3986,1379,836,1520,4371,4059,1260,1731,1398,2880,4420,1269,2103,651
4,0,42980,17629,35570,10219,23633,19347,0,14346,13723,14911,1530,910,3252,1413,2329,1731,3982,1386,844,1520,4355,4057,1258,1756,1402,2901,4406,1268,2025,655
7,0,42927,17506,35536,10115,23671,19256,0,14352,13635,14940,1534,909,3252,1392,2327,1732,3988,1388,855,1520,4334,4053,1257,1774,1407,2886,4391,1268,2005,655
8,0,42884,17590,35432,10138,23692,19192,0,14335,13588,14961,1534,910,3252,1374,2326,1732,3987,1397,870,1520,4304,4053,1255,1800,1412,2856,4364,1267,2013,658
9,0,42770,17471,35350,10051,23687,19083,0,14304,13509,14957,1534,909,3252,1356,2326,1733,3990,1403,889,1520,4284,4053,1252,1820,1418,2828,4340,1268,1940,655
10,0,42694,17367,35264,9937,23712,18982,0,14261,13436,14997,1536,909,3252,1339,2327,1733,3993,1404,902,1520,4248,4051,1253,1844,1421,2822,4314,1268,1902,656
11,0,42536,17300,35151,9915,23677,18859,0,14242,13324,14970,1535,907,3252,1330,2326,1734,3993,1402,914,1520,4214,4051,1252,1863,1420,2762,4277,1268,1860,656
14,0,42475,17005,35172,9702,23750,18725,0,14209,13301,14965,1536,909,3252,1322,2326,1734,3992,1401,923,1520,4182,4050,1252,1886,1418,2772,4240,1268,1833,659
15,0,42332,16804,35081,9553,23716,18616,0,14179,13223,14930,1537,907,3252,1308,2326,1736,3991,1400,935,1520,4135,4050,1252,1898,1417,2751,4204,1268,1784,661
16,0,42221,16640,35060,9479,23701,18520,0,14124,13173,14924,1538,906,3252,1297,2326,1736,3990,1397,945,1520,4105,4050,1252,1909,1417,2719,4178,1267,1757,660
17,0,42037,16479,34911,9353,23688,18349,0,14065,13083,14889,1539,905,3252,1281,2326,1736,3990,1396,950,1520,4075,4048,1252,1924,1418,2685,4144,1267,1669,660
18,0,42008,16223,34955,9170,23693,18315,0,14054,13077,14877,1539,905,3252,1267,2326,1736,3990,1396,954,1520,4050,4048,1252,1930,1418,2699,4120,1266,1681,659
