Day,ActiveMode,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,ActiveNorm,Rain
0,9509,0,0,9509,1
1,9392,0,117,9509,0
2,9392,0,117,9509,0
3,9392,0,117,9509,0
7,8930,0,579,9509,1
8,8503,0,996,9499,1
9,8564,0,905,9469,1
10,8458,0,969,9427,1
14,8660,0,731,9391,0
15,8387,0,981,9368,1
16,8517,0,759,9276,0
17,8370,0,750,9120,1
21,8392,0,541,8933,0
22,8392,0,372,8764,0
23,8392,0,281,8673,0
24,8392,0,256,8648,0
28,8392,0,189,8581,0
29,8392,0,127,8519,0
30,8392,0,82,8474,0
31,8392,0,6,8398,0
35,8392,0,0,8392,0
36,8370,0,22,8392,1
37,8392,0,0,8392,0
38,8392,0,0,8392,0
42,8370,0,22,8392,1
43,8382,0,10,8392,0
44,8382,0,10,8392,0
45,8382,0,10,8392,0
49,8382,0,10,8392,0
50,8382,0,10,8392,0
51,8370,0,21,8391,1
52,8378,0,10,8388,0
56,8378,0,6,8384,0
57,8370,0,12,8382,1
58,8370,0,12,8382,0
59,8370,0,12,8382,0
63,8370,0,12,8382,0
64,8370,0,12,8382,1
65,8370,0,8,8378,0
66,8370,0,8,8378,0
70,8370,0,8,8378,0
71,8370,0,4,8374,1
72,8369,0,1,8370,1
73,8370,0,0,8370,1
77,8370,0,0,8370,0
78,8369,0,1,8370,1
79,8370,0,0,8370,0
80,8369,0,1,8370,1
84,8370,0,0,8370,0
85,8370,0,0,8370,0
86,8369,0,1,8370,1
87,8369,0,1,8370,0
91,8369,0,1,8370,0
92,8369,0,1,8370,1
93,8369,0,1,8370,1
94,8369,0,1,8370,1
98,8369,0,1,8370,0
99,8369,0,1,8370,1
100,8369,0,0,8369,0
101,8369,0,0,8369,0
105,8369,0,0,8369,0
106,8369,0,0,8369,1
107,8369,0,0,8369,1
108,8369,0,0,8369,0
112,8369,0,0,8369,0
113,8369,0,0,8369,1
114,8369,0,0,8369,0
115,8369,0,0,8369,0
119,8369,0,0,8369,1
120,8369,0,0,8369,0
121,8369,0,0,8369,0
122,8369,0,0,8369,0
126,8369,0,0,8369,0
127,8369,0,0,8369,1
128,8369,0,0,8369,0
129,8369,0,0,8369,0
133,8369,0,0,8369,0
134,8369,0,0,8369,1
135,8369,0,0,8369,0
136,8369,0,0,8369,0
140,8369,0,0,8369,0
141,8369,0,0,8369,0
142,8369,0,0,8369,0
143,8369,0,0,8369,1
147,8369,0,0,8369,0
148,8369,0,0,8369,0
149,8369,0,0,8369,0
150,8369,0,0,8369,0
154,8369,0,0,8369,0
155,8369,0,0,8369,1
156,8369,0,0,8369,0
157,8369,0,0,8369,0
161,8369,0,0,8369,0
162,8369,0,0,8369,0
163,8369,0,0,8369,0
164,8369,0,0,8369,1
168,8369,0,0,8369,0
169,8369,0,0,8369,1
170,8369,0,0,8369,0
171,8369,0,0,8369,0
175,8369,0,0,8369,1
176,8369,0,0,8369,0
177,8369,0,0,8369,1
178,8369,0,0,8369,1
182,8369,0,0,8369,0
183,8369,0,0,8369,0
184,8369,0,0,8369,0
185,8369,0,0,8369,0
189,8369,0,0,8369,0
190,8369,0,0,8369,0
191,8369,0,0,8369,0
192,8369,0,0,8369,0
196,8369,0,0,8369,0
197,8369,0,0,8369,1
198,8369,0,0,8369,1
199,8369,0,0,8369,1
203,8369,0,0,8369,0
204,8369,0,0,8369,0
205,8369,0,0,8369,0
206,8369,0,0,8369,0
210,8369,0,0,8369,0
211,8369,0,0,8369,0
212,8369,0,0,8369,1
213,8369,0,0,8369,0
217,8369,0,0,8369,0
218,8369,0,0,8369,0
219,8369,0,0,8369,1
220,8369,0,0,8369,1
224,8369,0,0,8369,0
225,8369,0,0,8369,0
226,8369,0,0,8369,0
227,8369,0,0,8369,0
231,8369,0,0,8369,0
232,8369,0,0,8369,0
233,8369,0,0,8369,0
234,8369,0,0,8369,0
238,8369,0,0,8369,1
239,8369,0,0,8369,1
240,8369,0,0,8369,1
241,8369,0,0,8369,0
245,8369,0,0,8369,1
246,8369,0,0,8369,0
247,8369,0,0,8369,0
248,8369,0,0,8369,0
252,8369,0,0,8369,1
253,8369,0,0,8369,1
254,8369,0,0,8369,0
255,8369,0,0,8369,0
259,8369,0,0,8369,0
260,8369,0,0,8369,0
261,8369,0,0,8369,1
262,8369,0,0,8369,0
266,8369,0,0,8369,0
267,8369,0,0,8369,0
268,8369,0,0,8369,1
269,8369,0,0,8369,1
273,8369,0,0,8369,0
274,8369,0,0,8369,1
275,8369,0,0,8369,1
276,8369,0,0,8369,0
280,8369,0,0,8369,1
281,8369,0,0,8369,0
282,8369,0,0,8369,0
283,8369,0,0,8369,0
287,8369,0,0,8369,0
288,8369,0,0,8369,0
289,8369,0,0,8369,1
290,8369,0,0,8369,1
294,8369,0,0,8369,0
295,8369,0,0,8369,1
296,8369,0,0,8369,0
297,8369,0,0,8369,1
301,8369,0,0,8369,0
302,8369,0,0,8369,0
303,8369,0,0,8369,1
304,8369,0,0,8369,0
308,8369,0,0,8369,0
309,8369,0,0,8369,1
310,8369,0,0,8369,0
311,8369,0,0,8369,0
315,8369,0,0,8369,1
316,8369,0,0,8369,0
317,8369,0,0,8369,0
318,8369,0,0,8369,0
322,8369,0,0,8369,1
323,8369,0,0,8369,0
324,8369,0,0,8369,0
325,8369,0,0,8369,0
329,8369,0,0,8369,0
330,8369,0,0,8369,0
331,8369,0,0,8369,0
