Day,ActiveMode,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,ActiveNorm,Rain
0,7788,0,0,7788,1
1,7560,0,228,7788,0
2,7560,0,227,7787,0
3,7560,0,226,7786,0
7,7019,0,761,7780,1
8,6750,0,1019,7769,1
9,6375,0,1356,7731,1
10,6443,0,1238,7681,1
14,6515,0,1107,7622,0
15,6327,0,1177,7504,1
16,6443,0,896,7339,0
17,6327,0,826,7153,1
21,6329,0,589,6918,0
22,6329,0,422,6751,0
23,6329,0,225,6554,0
24,6329,0,181,6510,0
28,6329,0,127,6456,0
29,6329,0,78,6407,0
30,6329,0,17,6346,0
31,6329,0,3,6332,0
35,6329,0,3,6332,0
36,6327,0,2,6329,1
37,6329,0,0,6329,0
38,6329,0,0,6329,0
42,6327,0,2,6329,1
43,6327,0,2,6329,0
44,6327,0,2,6329,0
45,6327,0,2,6329,0
49,6327,0,2,6329,0
50,6327,0,2,6329,0
51,6327,0,2,6329,1
52,6327,0,2,6329,0
56,6327,0,2,6329,0
57,6327,0,2,6329,1
58,6327,0,0,6327,0
59,6327,0,0,6327,0
63,6327,0,0,6327,0
64,6327,0,0,6327,1
65,6327,0,0,6327,0
66,6327,0,0,6327,0
70,6327,0,0,6327,0
71,6327,0,0,6327,1
72,6327,0,0,6327,1
73,6327,0,0,6327,1
77,6327,0,0,6327,0
78,6327,0,0,6327,1
79,6327,0,0,6327,0
80,6327,0,0,6327,1
84,6327,0,0,6327,0
85,6327,0,0,6327,0
86,6327,0,0,6327,1
87,6327,0,0,6327,0
91,6327,0,0,6327,0
92,6327,0,0,6327,1
93,6327,0,0,6327,1
94,6327,0,0,6327,1
98,6327,0,0,6327,0
99,6327,0,0,6327,1
100,6327,0,0,6327,0
101,6327,0,0,6327,0
105,6327,0,0,6327,0
106,6327,0,0,6327,1
107,6327,0,0,6327,1
108,6327,0,0,6327,0
112,6327,0,0,6327,0
113,6327,0,0,6327,1
114,6327,0,0,6327,0
115,6327,0,0,6327,0
119,6327,0,0,6327,1
120,6327,0,0,6327,0
121,6327,0,0,6327,0
122,6327,0,0,6327,0
126,6327,0,0,6327,0
127,6327,0,0,6327,1
128,6327,0,0,6327,0
129,6327,0,0,6327,0
133,6327,0,0,6327,0
134,6327,0,0,6327,1
135,6327,0,0,6327,0
136,6327,0,0,6327,0
140,6327,0,0,6327,0
141,6327,0,0,6327,0
142,6327,0,0,6327,0
143,6327,0,0,6327,1
147,6327,0,0,6327,0
148,6327,0,0,6327,0
149,6327,0,0,6327,0
150,6327,0,0,6327,0
154,6327,0,0,6327,0
155,6327,0,0,6327,1
156,6327,0,0,6327,0
157,6327,0,0,6327,0
161,6327,0,0,6327,0
162,6327,0,0,6327,0
163,6327,0,0,6327,0
164,6327,0,0,6327,1
168,6327,0,0,6327,0
169,6327,0,0,6327,1
170,6327,0,0,6327,0
171,6327,0,0,6327,0
175,6327,0,0,6327,1
176,6327,0,0,6327,0
177,6327,0,0,6327,1
178,6327,0,0,6327,1
182,6327,0,0,6327,0
183,6327,0,0,6327,0
184,6327,0,0,6327,0
185,6327,0,0,6327,0
189,6327,0,0,6327,0
190,6327,0,0,6327,0
191,6327,0,0,6327,0
192,6327,0,0,6327,0
196,6327,0,0,6327,0
197,6327,0,0,6327,1
198,6327,0,0,6327,1
199,6327,0,0,6327,1
203,6327,0,0,6327,0
204,6327,0,0,6327,0
205,6327,0,0,6327,0
206,6327,0,0,6327,0
210,6327,0,0,6327,0
211,6327,0,0,6327,0
212,6327,0,0,6327,1
213,6327,0,0,6327,0
217,6327,0,0,6327,0
218,6327,0,0,6327,0
219,6327,0,0,6327,1
220,6327,0,0,6327,1
224,6327,0,0,6327,0
225,6327,0,0,6327,0
226,6327,0,0,6327,0
227,6327,0,0,6327,0
231,6327,0,0,6327,0
232,6327,0,0,6327,0
233,6327,0,0,6327,0
234,6327,0,0,6327,0
238,6327,0,0,6327,1
239,6327,0,0,6327,1
240,6327,0,0,6327,1
241,6327,0,0,6327,0
245,6327,0,0,6327,1
246,6327,0,0,6327,0
247,6327,0,0,6327,0
248,6327,0,0,6327,0
252,6327,0,0,6327,1
253,6327,0,0,6327,1
254,6327,0,0,6327,0
255,6327,0,0,6327,0
259,6327,0,0,6327,0
260,6327,0,0,6327,0
261,6327,0,0,6327,1
262,6327,0,0,6327,0
266,6327,0,0,6327,0
267,6327,0,0,6327,0
268,6327,0,0,6327,1
269,6327,0,0,6327,1
273,6327,0,0,6327,0
274,6327,0,0,6327,1
275,6327,0,0,6327,1
276,6327,0,0,6327,0
280,6327,0,0,6327,1
281,6327,0,0,6327,0
282,6327,0,0,6327,0
283,6327,0,0,6327,0
287,6327,0,0,6327,0
288,6327,0,0,6327,0
289,6327,0,0,6327,1
290,6327,0,0,6327,1
294,6327,0,0,6327,0
295,6327,0,0,6327,1
296,6327,0,0,6327,0
297,6327,0,0,6327,1
301,6327,0,0,6327,0
302,6327,0,0,6327,0
