Day,ActiveMode,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,ActiveNorm,Rain
0,7878,0,0,7878,0
1,7728,2,337,8063,0
2,7727,2,336,8061,0
3,7727,2,336,8061,0
7,6108,1,1954,8061,1
8,6721,7,860,7574,0
9,6721,5,860,7576,0
10,6721,5,860,7576,0
14,6721,5,860,7576,0
15,6721,5,860,7576,0
16,6108,1,1469,7576,1
17,6108,1,1467,7574,1
21,6108,1,1467,7574,1
22,6718,4,860,7574,0
23,6718,4,860,7574,0
24,6108,1,1467,7574,1
28,6718,4,860,7574,0
29,6718,4,860,7574,0
30,6718,4,860,7574,0
31,6108,1,1467,7574,1
35,6718,4,860,7574,0
36,6718,4,860,7574,0
37,6108,1,1467,7574,1
38,6718,4,860,7574,0
42,6718,4,860,7574,0
43,6718,4,860,7574,0
44,6108,1,1467,7574,1
45,6718,4,860,7574,0
49,6108,1,1467,7574,1
50,6718,4,860,7574,0
51,6718,4,860,7574,0
52,6108,1,1467,7574,1
56,6108,1,1467,7574,1
57,6718,4,860,7574,0
58,6108,1,1467,7574,1
59,6108,1,1467,7574,1
63,6108,1,1467,7574,1
64,6718,4,860,7574,0
65,6108,1,1467,7574,1
66,6718,4,860,7574,0
70,6108,1,1467,7574,1
71,6718,4,860,7574,0
72,6108,1,1467,7574,1
73,6718,4,860,7574,0
77,6718,4,860,7574,0
78,6718,4,860,7574,0
79,6718,4,860,7574,0
80,6718,4,860,7574,0
84,6718,4,860,7574,0
85,6718,4,860,7574,0
86,6108,1,1467,7574,1
87,6718,4,860,7574,0
91,6718,4,860,7574,0
92,6718,4,860,7574,0
93,6718,4,860,7574,0
94,6108,1,1467,7574,1
98,6718,4,860,7574,0
99,6718,4,860,7574,0
100,6108,1,1467,7574,1
101,6108,1,1467,7574,1
105,6108,1,1467,7574,1
106,6718,4,860,7574,0
107,6718,4,860,7574,0
108,6718,4,860,7574,0
112,6718,4,860,7574,0
113,6108,1,1467,7574,1
114,6718,4,860,7574,0
115,6108,1,1467,7574,1
119,6108,1,1467,7574,1
120,6718,4,860,7574,0
121,6718,4,860,7574,0
122,6108,1,1467,7574,1
126,6718,4,860,7574,0
127,6718,4,860,7574,0
128,6108,1,1467,7574,1
129,6718,4,860,7574,0
133,6718,4,860,7574,0
134,6108,1,1467,7574,1
135,6718,4,860,7574,0
