Day,ActiveMode,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,ActiveNorm,Rain
0,9482,0,0,9482,0
1,8755,887,477,8345,1
2,8392,524,471,8339,1
3,8783,528,78,8333,0
7,8779,524,76,8331,0
8,8779,524,76,8331,0
9,8779,524,76,8331,0
10,8779,524,76,8331,0
14,8392,524,462,8330,1
15,8392,524,459,8327,1
16,8772,534,78,8316,0
17,8762,524,77,8315,0
21,8392,524,447,8315,1
22,8759,526,79,8312,0
23,8757,524,76,8309,0
24,8757,524,74,8307,0
28,8757,524,74,8307,0
29,8757,524,74,8307,0
30,8392,522,439,8309,1
31,8757,522,74,8309,0
35,8757,522,74,8309,0
36,8757,522,73,8308,0
37,8757,522,73,8308,0
38,8392,522,438,8308,1
42,8757,522,73,8308,0
43,8392,522,438,8308,1
44,8754,528,76,8302,0
45,8748,522,76,8302,0
49,8748,522,74,8300,0
50,8748,521,74,8301,0
51,8748,521,74,8301,0
52,8392,520,430,8302,1
56,8392,520,430,8302,1
57,8745,523,77,8299,0
58,8742,519,77,8300,0
59,8742,519,77,8300,0
63,8392,519,427,8300,1
64,8392,518,427,8301,1
65,8733,523,85,8295,0
66,8728,518,84,8294,0
70,8728,518,84,8294,0
71,8728,518,84,8294,0
72,8728,518,82,8292,0
73,8728,518,82,8292,0
77,8728,518,81,8291,0
78,8392,518,417,8291,1
79,8728,518,81,8291,0
80,8728,518,81,8291,0
84,8392,518,417,8291,1
85,8728,518,81,8291,0
86,8392,518,417,8291,1
87,8728,518,81,8291,0
91,8728,518,81,8291,0
92,8728,518,81,8291,0
93,8728,517,81,8292,0
94,8728,517,81,8292,0
98,8728,517,81,8292,0
99,8392,517,417,8292,1
100,8392,517,417,8292,1
101,8728,517,81,8292,0
105,8728,517,81,8292,0
106,8728,517,81,8292,0
107,8728,517,81,8292,0
108,8392,517,417,8292,1
112,8392,517,417,8292,1
113,8728,517,81,8292,0
114,8728,517,81,8292,0
115,8392,517,417,8292,1
119,8727,517,82,8292,0
120,8727,517,82,8292,0
121,8392,517,416,8291,1
122,8392,517,416,8291,1
126,8725,523,83,8285,0
127,8719,517,83,8285,0
128,8719,517,83,8285,0
129,8719,517,83,8285,0
133,8719,517,83,8285,0
134,8392,517,410,8285,1
135,8392,517,410,8285,1
136,8719,517,83,8285,0
140,8719,517,83,8285,0
141,8719,517,83,8285,0
142,8719,517,83,8285,0
143,8392,517,410,8285,1
147,8719,517,83,8285,0
148,8719,517,83,8285,0
149,8719,517,83,8285,0
150,8719,517,83,8285,0
154,8719,517,83,8285,0
155,8719,517,83,8285,0
