Day,ActiveMode,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,ActiveNorm,Rain
0,7854,0,0,7854,0
1,7006,619,509,6896,1
2,6712,473,451,6690,1
3,7077,424,18,6671,0
7,7061,407,16,6670,0
8,7061,407,15,6669,0
9,7061,407,14,6668,0
10,7061,407,13,6667,0
14,6647,407,425,6665,1
15,6647,408,422,6661,1
16,7053,418,15,6650,0
17,7043,407,12,6648,0
21,6647,407,407,6647,1
22,7042,411,9,6640,0
23,7039,407,7,6639,0
24,7039,407,7,6639,0
28,7039,407,7,6639,0
29,7039,407,7,6639,0
30,6647,407,397,6637,1
31,7039,408,5,6636,0
35,7039,407,5,6637,0
36,7039,407,5,6637,0
37,7039,407,5,6637,0
38,6647,407,396,6636,1
42,7039,408,4,6635,0
43,6647,407,396,6636,1
44,7038,413,4,6629,0
45,7033,407,2,6628,0
49,7033,407,2,6628,0
50,7033,407,2,6628,0
51,7033,407,2,6628,0
52,6647,407,388,6628,1
56,6647,408,388,6627,1
57,7031,411,4,6624,0
58,7028,407,4,6625,0
59,7028,407,4,6625,0
63,6647,407,384,6624,1
64,6647,408,383,6622,1
65,7022,413,7,6616,0
66,7017,407,7,6617,0
70,7017,407,6,6616,0
71,7017,407,6,6616,0
72,7017,407,6,6616,0
73,7017,407,6,6616,0
77,7017,407,4,6614,0
78,6647,407,373,6613,1
79,7017,408,3,6612,0
80,7017,407,3,6613,0
84,6647,407,373,6613,1
85,7017,408,3,6612,0
86,6647,407,373,6613,1
87,7017,408,3,6612,0
91,7017,407,3,6613,0
92,7017,407,3,6613,0
93,7017,407,3,6613,0
94,7017,407,3,6613,0
98,7017,407,2,6612,0
99,6647,407,372,6612,1
100,6647,408,372,6611,1
101,7017,408,2,6611,0
105,7017,407,2,6612,0
106,7017,407,2,6612,0
107,7017,407,2,6612,0
108,6647,407,372,6612,1
112,6647,408,372,6611,1
113,7017,408,2,6611,0
114,7017,407,2,6612,0
115,6647,407,372,6612,1
119,7017,410,2,6609,0
120,7015,407,2,6610,0
121,6647,407,370,6610,1
122,6647,408,369,6608,1
126,7008,417,6,6597,0
127,6999,407,6,6598,0
128,6999,407,6,6598,0
129,6999,407,6,6598,0
133,6999,407,6,6598,0
134,6647,407,356,6596,1
135,6647,408,355,6594,1
136,6999,408,3,6594,0
140,6999,407,3,6595,0
141,6999,407,2,6594,0
142,6999,407,2,6594,0
143,6647,407,354,6594,1
147,6999,408,2,6593,0
148,6999,407,2,6594,0
149,6999,407,2,6594,0
150,6999,407,2,6594,0
154,6999,407,2,6594,0
155,6999,407,2,6594,0
156,6999,407,2,6594,0
157,6999,407,2,6594,0
161,6999,407,2,6594,0
162,6999,407,2,6594,0
163,6999,407,2,6594,0
164,6999,407,2,6594,0
168,6999,407,2,6594,0
169,6999,407,2,6594,0
170,6999,407,2,6594,0
171,6999,407,2,6594,0
175,6999,407,2,6594,0
176,6999,407,2,6594,0
177,6999,407,2,6594,0
178,6647,407,354,6594,1
182,6999,408,2,6593,0
183,6999,407,2,6594,0
184,6999,407,2,6594,0
185,6999,407,2,6594,0
189,6647,407,354,6594,1
190,6999,408,2,6593,0
191,6999,407,2,6594,0
192,6999,407,2,6594,0
196,6999,407,2,6594,0
197,6999,407,2,6594,0
198,6999,407,2,6594,0
199,6647,407,354,6594,1
203,6999,408,2,6593,0
204,6999,407,2,6594,0
205,6647,407,354,6594,1
206,6999,408,2,6593,0
210,6999,407,2,6594,0
211,6647,407,354,6594,1
212,6647,408,354,6593,1
213,6999,408,2,6593,0
217,6999,407,2,6594,0
218,6999,407,2,6594,0
219,6647,407,354,6594,1
220,6999,408,2,6593,0
224,6999,407,2,6594,0
225,6999,407,2,6594,0
226,6999,407,2,6594,0
227,6999,407,2,6594,0
231,6647,407,354,6594,1
232,6999,408,2,6593,0
233,6999,407,2,6594,0
234,6999,407,2,6594,0
238,6647,407,354,6594,1
239,6999,408,2,6593,0
240,6647,407,354,6594,1
241,6999,408,2,6593,0
245,6999,407,2,6594,0
246,6647,407,354,6594,1
247,6647,408,354,6593,1
248,6999,408,2,6593,0
252,6999,407,2,6594,0
253,6999,407,2,6594,0
254,6999,407,2,6594,0
255,6647,407,354,6594,1
259,6999,408,2,6593,0
260,6999,407,2,6594,0
261,6999,407,2,6594,0
262,6647,407,354,6594,1
266,6647,408,354,6593,1
267,6999,408,2,6593,0
268,6999,407,2,6594,0
269,6647,407,354,6594,1
273,6999,408,2,6593,0
274,6999,407,2,6594,0
275,6999,407,2,6594,0
276,6999,407,2,6594,0
280,6647,407,354,6594,1
281,6999,408,2,6593,0
282,6999,407,2,6594,0
283,6999,407,2,6594,0
287,6999,407,2,6594,0
288,6999,407,2,6594,0
289,6999,407,2,6594,0
290,6647,407,354,6594,1
294,6999,408,2,6593,0
295,6999,407,2,6594,0
296,6999,407,2,6594,0
297,6999,407,2,6594,0
301,6999,407,2,6594,0
302,6647,407,354,6594,1
303,6999,408,2,6593,0
304,6999,407,2,6594,0
308,6999,407,2,6594,0
309,6999,407,2,6594,0
310,6999,407,2,6594,0
311,6647,407,354,6594,1
315,6999,408,2,6593,0
316,6999,407,2,6594,0
317,6647,407,354,6594,1
318,6999,408,2,6593,0
322,6647,407,354,6594,1
323,6999,408,2,6593,0
324,6999,407,2,6594,0
325,6647,407,354,6594,1
329,6647,408,354,6593,1
330,6647,408,354,6593,1
331,6998,408,3,6593,0
332,6998,407,3,6594,0
336,6647,407,354,6594,1
337,6998,408,3,6593,0
338,6998,407,3,6594,0
339,6647,407,354,6594,1
343,6647,408,353,6592,1
344,6647,408,352,6591,1
345,6991,413,6,6584,0
