Day,ActiveMode,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,ActiveNorm,Rain
0,9592,0,0,9592,1
1,9486,22,259,9723,0
2,7673,2,2052,9723,1
3,7673,2,2052,9723,1
7,9444,22,301,9723,0
8,9443,22,302,9723,0
9,9443,22,302,9723,0
10,7674,3,2052,9723,1
14,9417,22,328,9723,0
15,9417,22,328,9723,0
16,9417,22,328,9723,0
17,9417,22,328,9723,0
21,7674,3,2052,9723,1
22,7674,3,2052,9723,1
23,9361,22,384,9723,0
24,9361,22,384,9723,0
28,7674,3,2052,9723,1
29,7674,3,2051,9722,1
30,7674,3,2049,9720,1
31,9249,25,495,9719,0
35,7674,3,2047,9718,1
36,7674,3,2047,9718,1
37,9161,27,582,9716,0
38,9161,27,580,9714,0
42,7674,3,2043,9714,1
43,9161,26,575,9710,0
44,7674,3,2034,9705,1
45,7674,3,2028,9699,1
49,9067,30,656,9693,0
50,7674,3,2010,9681,1
51,7674,3,1999,9670,1
52,7674,3,1985,9656,1
56,8921,33,754,9642,0
57,7674,3,1961,9632,1
58,8921,33,726,9614,0
59,8921,33,710,9598,0
63,8921,33,694,9582,0
64,7674,3,1892,9563,1
65,7674,3,1880,9551,1
66,7674,3,1864,9535,1
70,8910,33,637,9514,0
71,8910,33,619,9496,0
72,8910,33,610,9487,0
73,8910,33,601,9478,0
77,8910,32,591,9469,0
78,8910,29,584,9465,0
79,7674,3,1789,9460,1
80,8910,27,568,9451,0
84,8910,27,559,9442,0
85,7674,3,1768,9439,1
86,8910,27,551,9434,0
87,7674,3,1757,9428,1
91,7674,3,1749,9420,1
92,7674,3,1742,9413,1
93,8910,31,530,9409,0
94,7674,3,1735,9406,1
98,8910,31,522,9401,0
99,8910,31,519,9398,0
100,7674,3,1724,9395,1
101,8910,31,508,9387,0
105,8910,31,504,9383,0
106,7674,3,1710,9381,1
107,8910,31,498,9377,0
108,8910,31,497,9376,0
112,8910,29,496,9377,0
113,7674,3,1705,9376,1
114,7674,3,1705,9376,1
115,8910,30,491,9371,0
119,7674,3,1698,9369,1
120,7674,3,1696,9367,1
121,8910,31,488,9367,0
122,8910,31,488,9367,0
126,8910,31,488,9367,0
127,8910,29,487,9368,0
128,8910,29,486,9367,0
129,8910,27,484,9367,0
133,8910,27,484,9367,0
134,8910,27,482,9365,0
135,7674,3,1693,9364,1
136,8910,27,481,9364,0
140,7674,3,1693,9364,1
141,8910,27,481,9364,0
142,8910,27,481,9364,0
143,8910,27,480,9363,0
147,8910,27,480,9363,0
148,7674,3,1691,9362,1
149,7674,3,1691,9362,1
150,8910,27,479,9362,0
154,8910,27,479,9362,0
155,7674,3,1691,9362,1
156,8910,27,478,9361,0
157,7674,3,1690,9361,1
161,7674,3,1690,9361,1
162,8910,30,478,9358,0
163,8910,28,478,9360,0
164,8910,28,477,9359,0
168,8910,27,477,9360,0
169,8910,27,477,9360,0
170,7674,3,1688,9359,1
171,7674,3,1688,9359,1
175,8910,27,476,9359,0
176,8910,27,476,9359,0
177,8910,27,475,9358,0
178,8910,27,475,9358,0
182,8910,27,475,9358,0
183,8910,27,475,9358,0
184,8910,27,475,9358,0
185,8910,27,475,9358,0
189,8910,27,475,9358,0
190,8910,27,475,9358,0
191,8910,27,475,9358,0
192,8910,27,475,9358,0
196,8910,27,475,9358,0
197,8910,27,475,9358,0
198,7675,4,1687,9358,1
199,8910,27,475,9358,0
203,8910,27,475,9358,0
204,8910,27,475,9358,0
205,7675,4,1687,9358,1
206,8910,27,475,9358,0
210,8910,27,475,9358,0
211,8910,27,475,9358,0
212,8910,27,475,9358,0
213,8910,27,475,9358,0
217,8910,27,475,9358,0
218,8910,27,475,9358,0
219,8910,27,475,9358,0
220,8910,27,475,9358,0
224,7675,4,1688,9359,1
225,8910,26,475,9359,0
226,7675,4,1688,9359,1
227,7675,4,1688,9359,1
231,8910,26,475,9359,0
232,8910,26,475,9359,0
233,8910,26,475,9359,0
234,8910,26,475,9359,0
238,8910,26,475,9359,0
239,8910,26,475,9359,0
240,8910,26,474,9358,0
241,7675,4,1687,9358,1
245,8910,26,474,9358,0
246,8910,26,474,9358,0
247,8910,26,474,9358,0
248,7675,4,1687,9358,1
252,7675,4,1687,9358,1
253,8910,26,474,9358,0
254,8910,26,474,9358,0
255,7675,4,1687,9358,1
259,8910,26,474,9358,0
260,7675,4,1687,9358,1
261,7675,4,1687,9358,1
262,8910,26,474,9358,0
266,7675,4,1687,9358,1
267,7675,4,1687,9358,1
268,8910,29,474,9355,0
269,8910,28,474,9356,0
273,8910,27,474,9357,0
274,7675,4,1687,9358,1
275,8910,26,474,9358,0
276,8910,26,474,9358,0
280,8910,26,474,9358,0
281,8910,26,474,9358,0
282,8910,26,474,9358,0
283,8910,26,474,9358,0
287,7675,4,1687,9358,1
288,8910,26,474,9358,0
289,8910,26,474,9358,0
290,8910,26,474,9358,0
294,8910,26,474,9358,0
295,8910,26,474,9358,0
296,7675,4,1687,9358,1
297,7675,4,1687,9358,1
301,8910,26,474,9358,0
302,8910,26,474,9358,0
303,7675,4,1687,9358,1
304,7675,4,1687,9358,1
308,7675,4,1687,9358,1
309,7675,4,1686,9357,1
310,7675,4,1684,9355,1
311,7675,4,1682,9353,1
315,7675,4,1680,9351,1
316,8879,33,505,9351,0
317,8879,33,505,9351,0
318,8879,33,503,9349,0
322,8879,33,502,9348,0
323,7675,4,1677,9348,1
324,8879,32,501,9348,0
325,8879,32,499,9346,0
329,8879,31,498,9346,0
330,7675,4,1677,9348,1
331,8879,30,498,9347,0
332,8879,29,498,9348,0
336,7675,4,1677,9348,1
337,8879,28,497,9348,0
338,8879,28,497,9348,0
339,8879,27,497,9349,0
343,8879,27,495,9347,0
344,8879,27,493,9345,0
345,8879,27,492,9344,0
346,8879,27,492,9344,0
350,7675,4,1672,9343,1
351,8879,27,491,9343,0
352,8879,27,491,9343,0
353,8879,27,491,9343,0
357,8879,27,491,9343,0
358,7675,4,1672,9343,1
359,8879,27,490,9342,0
360,8879,27,490,9342,0
364,8879,27,490,9342,0
365,7675,4,1671,9342,1
