Day,ActiveMode,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,ActiveNorm,Rain
0,7897,0,0,7897,1
1,7734,4,342,8072,0
2,6078,1,1995,8072,1
3,6078,1,1995,8072,1
7,7680,4,397,8073,0
8,7680,4,397,8073,0
9,7680,4,397,8073,0
10,6078,1,1996,8073,1
14,7654,5,423,8072,0
15,7654,5,423,8072,0
16,7654,5,423,8072,0
17,7654,5,423,8072,0
21,6078,1,1995,8072,1
22,6078,1,1995,8072,1
23,7611,6,466,8071,0
24,7611,6,466,8071,0
28,6078,1,1994,8071,1
29,6078,1,1992,8069,1
30,6078,1,1990,8067,1
31,7476,7,597,8066,0
35,6078,1,1988,8065,1
36,6078,1,1987,8064,1
37,7392,8,677,8061,0
38,7392,8,671,8055,0
42,6078,1,1979,8056,1
43,7392,8,667,8051,0
44,6078,1,1967,8044,1
45,6078,1,1954,8031,1
49,7313,10,716,8019,0
50,6078,1,1935,8012,1
51,6078,1,1915,7992,1
52,6078,1,1905,7982,1
56,7185,13,797,7969,0
57,6078,1,1873,7950,1
58,7185,13,761,7933,0
59,7185,13,744,7916,0
63,7185,13,730,7902,0
64,6078,1,1807,7884,1
65,6078,1,1793,7870,1
66,6078,1,1782,7859,1
70,7171,14,692,7849,0
71,7171,14,682,7839,0
72,7171,14,669,7826,0
73,7171,13,657,7815,0
77,7171,12,649,7808,0
78,7171,12,642,7801,0
79,6078,1,1712,7789,1
80,7171,11,616,7776,0
84,7171,10,614,7775,0
85,6078,1,1694,7771,1
86,7171,11,602,7762,0
87,6078,1,1681,7758,1
91,6078,1,1675,7752,1
92,6078,1,1668,7745,1
93,7171,13,584,7742,0
94,6078,1,1658,7735,1
98,7171,13,574,7732,0
99,7171,13,572,7730,0
100,6078,1,1651,7728,1
101,7171,13,568,7726,0
105,7171,12,562,7721,0
106,6078,1,1644,7721,1
107,7171,11,558,7718,0
108,7171,11,557,7717,0
112,7171,11,556,7716,0
113,6078,1,1639,7716,1
114,6078,1,1638,7715,1
115,7171,11,555,7715,0
119,6078,1,1636,7713,1
120,6078,1,1633,7710,1
121,7171,14,552,7709,0
122,7171,14,552,7709,0
126,7171,13,550,7708,0
127,7171,12,548,7707,0
128,7171,11,548,7708,0
129,7171,11,548,7708,0
133,7171,10,547,7708,0
134,7171,10,547,7708,0
135,6078,1,1631,7708,1
136,7171,8,545,7708,0
140,6078,1,1631,7708,1
141,7171,8,544,7707,0
142,7171,8,543,7706,0
143,7171,8,542,7705,0
147,7171,8,542,7705,0
148,6078,1,1628,7705,1
149,6078,1,1628,7705,1
150,7171,8,542,7705,0
154,7171,8,542,7705,0
155,6078,1,1628,7705,1
156,7171,8,541,7704,0
157,6078,1,1627,7704,1
161,6078,1,1627,7704,1
162,7171,9,541,7703,0
163,7171,9,541,7703,0
164,7171,8,541,7704,0
168,7171,8,541,7704,0
169,7171,8,541,7704,0
170,6078,1,1627,7704,1
171,6078,1,1627,7704,1
175,7171,9,541,7703,0
176,7171,8,541,7704,0
177,7171,8,541,7704,0
178,7171,8,541,7704,0
182,7171,8,541,7704,0
183,7171,8,540,7703,0
184,7171,8,540,7703,0
185,7171,8,540,7703,0
189,7171,8,540,7703,0
190,7171,7,540,7704,0
191,7171,7,540,7704,0
192,7171,7,540,7704,0
196,7171,6,540,7705,0
197,7171,6,540,7705,0
198,6078,1,1628,7705,1
199,7171,6,540,7705,0
203,7171,6,540,7705,0
204,7171,6,540,7705,0
205,6078,1,1628,7705,1
206,7171,6,540,7705,0
210,7171,6,540,7705,0
211,7171,6,540,7705,0
212,7171,6,540,7705,0
213,7171,6,540,7705,0
217,7171,6,540,7705,0
218,7171,6,540,7705,0
219,7171,6,540,7705,0
220,7171,6,540,7705,0
224,6078,1,1628,7705,1
225,7171,6,540,7705,0
226,6078,1,1628,7705,1
227,6078,1,1628,7705,1
231,7171,7,540,7704,0
232,7171,7,540,7704,0
233,7171,7,540,7704,0
234,7171,7,540,7704,0
238,7171,7,540,7704,0
239,7171,7,540,7704,0
240,7171,6,540,7705,0
241,6078,1,1628,7705,1
245,7171,6,540,7705,0
246,7171,6,540,7705,0
247,7171,6,540,7705,0
248,6078,1,1628,7705,1
252,6078,1,1628,7705,1
253,7171,7,540,7704,0
254,7171,7,540,7704,0
255,6078,1,1627,7704,1
259,7171,7,540,7704,0
260,6078,1,1627,7704,1
261,6078,1,1627,7704,1
262,7171,7,540,7704,0
266,6078,1,1627,7704,1
267,6078,1,1626,7703,1
268,7171,8,540,7703,0
269,7171,8,540,7703,0
273,7171,7,540,7704,0
274,6078,1,1627,7704,1
275,7171,8,540,7703,0
276,7171,7,540,7704,0
280,7171,7,540,7704,0
281,7171,7,540,7704,0
282,7171,7,540,7704,0
283,7171,7,540,7704,0
287,6078,1,1627,7704,1
288,7171,7,540,7704,0
289,7171,7,540,7704,0
290,7171,7,540,7704,0
294,7171,7,540,7704,0
295,7171,7,540,7704,0
296,6078,1,1627,7704,1
297,6078,1,1627,7704,1
301,7171,7,540,7704,0
302,7171,7,540,7704,0
303,6078,1,1627,7704,1
304,6078,1,1627,7704,1
308,6078,1,1627,7704,1
