Day,ActiveMode,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,ActiveNorm,Rain
0,9673,0,0,9673,1
1,6188,0,3642,9830,1
2,9529,25,322,9826,0
3,9527,24,323,9826,0
7,9527,24,322,9825,0
8,5392,0,4433,9825,1
9,5392,0,4428,9820,1
10,9473,29,372,9816,0
14,9471,27,369,9813,0
15,9471,27,364,9808,0
16,9471,27,356,9800,0
17,9471,27,353,9797,0
21,9471,27,351,9795,0
22,5392,0,4398,9790,1
23,9470,27,345,9788,0
24,9470,27,341,9784,0
28,5392,0,4386,9778,1
29,5392,0,4381,9773,1
30,9393,29,407,9771,0
31,9392,28,401,9765,0
35,9392,28,395,9759,0
36,9392,27,386,9751,0
37,5392,0,4355,9747,1
38,5392,0,4346,9738,1
42,5392,0,4338,9730,1
43,9271,32,481,9720,0
44,5392,0,4324,9716,1
45,9224,37,516,9703,0
49,5392,0,4293,9685,1
50,9169,37,527,9659,0
51,5392,0,4261,9653,1
52,5392,0,4236,9628,1
56,8994,48,648,9594,0
57,8991,45,631,9577,0
58,8991,44,606,9553,0
59,8991,39,580,9532,0
63,5392,0,4119,9511,1
64,8991,39,528,9480,0
65,8991,38,505,9458,0
66,8991,38,489,9442,0
70,8991,38,475,9428,0
71,8991,34,463,9420,0
72,5392,0,4013,9405,1
73,5392,0,4003,9395,1
77,5392,0,3994,9386,1
78,8991,37,422,9376,0
79,8991,36,413,9368,0
80,5392,0,3973,9365,1
84,5392,0,3968,9360,1
85,5392,0,3957,9349,1
86,8846,63,536,9319,0
87,5392,0,3918,9310,1
91,5392,0,3898,9290,1
92,8642,68,675,9249,0
93,5392,0,3837,9229,1
94,8627,56,638,9209,0
98,8627,55,618,9190,0
99,5392,0,3779,9171,1
100,8627,54,580,9153,0
101,5392,0,3742,9134,1
105,8627,54,546,9119,0
106,8627,54,528,9101,0
107,8627,48,517,9096,0
108,8627,45,504,9086,0
112,8627,42,494,9079,0
113,8627,40,480,9067,0
114,8627,40,466,9053,0
115,5392,0,3647,9039,1
119,5392,0,3643,9035,1
120,8627,40,446,9033,0
121,8627,40,441,9028,0
122,8627,40,438,9025,0
126,8627,40,435,9022,0
127,8627,37,431,9021,0
128,8627,35,428,9020,0
129,5392,0,3627,9019,1
133,8627,35,424,9016,0
