Day,ActiveMode,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,ActiveNorm,Rain
0,7760,0,0,7760,1
1,4609,0,3196,7805,1
2,7581,11,233,7803,0
3,7581,11,232,7802,0
7,7581,11,230,7800,0
8,4005,0,3795,7800,1
9,4005,0,3790,7795,1
10,7522,15,280,7787,0
14,7521,14,275,7782,0
15,7521,14,268,7775,0
16,7521,14,264,7771,0
17,7521,14,256,7763,0
21,7521,14,254,7761,0
22,4005,0,3742,7747,1
23,7520,14,236,7742,0
24,7520,14,229,7735,0
28,4005,0,3725,7730,1
29,4005,0,3722,7727,1
30,7440,18,295,7717,0
31,7440,18,291,7713,0
35,7440,18,286,7708,0
36,7440,18,280,7702,0
37,4005,0,3694,7699,1
38,4005,0,3684,7689,1
42,4005,0,3675,7680,1
43,7285,23,395,7657,0
44,4005,0,3645,7650,1
45,7225,22,431,7634,0
49,4005,0,3613,7618,1
50,7166,26,459,7599,0
51,4005,0,3564,7569,1
52,4005,0,3539,7544,1
56,6959,41,579,7497,0
57,6955,36,542,7461,0
58,6955,34,512,7433,0
59,6955,33,485,7407,0
63,4005,0,3370,7375,1
64,6955,31,422,7346,0
65,6955,31,401,7325,0
66,6955,30,375,7300,0
70,6955,26,345,7274,0
71,6955,23,333,7265,0
72,4005,0,3253,7258,1
73,4005,0,3244,7249,1
77,4005,0,3235,7240,1
78,6955,29,297,7223,0
79,6955,29,290,7216,0
80,4005,0,3208,7213,1
84,4005,0,3204,7209,1
85,4005,0,3197,7202,1
86,6832,47,388,7173,0
87,4005,0,3157,7162,1
91,4005,0,3144,7149,1
92,6660,49,503,7114,0
93,4005,0,3095,7100,1
94,6642,35,470,7077,0
98,6642,34,450,7058,0
99,4005,0,3031,7036,1
100,6642,34,412,7020,0
101,4005,0,2992,6997,1
105,6642,34,370,6978,0
106,6642,33,353,6962,0
107,6642,32,341,6951,0
108,6642,30,334,6946,0
112,6642,29,326,6939,0
113,6642,29,319,6932,0
114,6642,29,313,6926,0
115,4005,0,2916,6921,1
119,4005,0,2911,6916,1
120,6642,26,294,6910,0
121,6642,26,287,6903,0
122,6642,26,286,6902,0
126,6642,25,282,6899,0
127,6642,23,281,6900,0
128,6642,22,277,6897,0
129,4005,0,2891,6896,1
133,6642,21,273,6894,0
134,6642,21,271,6892,0
135,6642,21,271,6892,0
136,4005,0,2884,6889,1
140,6642,21,266,6887,0
141,4005,0,2877,6882,1
142,6642,22,258,6878,0
143,4005,0,2873,6878,1
147,6642,23,257,6876,0
148,6642,23,257,6876,0
149,4005,0,2870,6875,1
150,6642,23,255,6874,0
154,6642,23,255,6874,0
