Day,ActiveMode,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,ActiveNorm,Rain
0,9516,0,0,9516,1
1,9418,35,291,9674,0
2,9414,32,292,9674,0
3,5419,0,4252,9671,1
7,5419,0,4251,9670,1
8,5419,0,4249,9668,1
9,5419,0,4249,9668,1
10,5419,0,4243,9662,1
14,9236,37,456,9655,0
15,9236,37,451,9650,0
16,9236,37,444,9643,0
17,9236,37,434,9633,0
21,5419,0,4199,9618,1
22,9236,37,407,9606,0
23,9236,37,398,9597,0
24,5419,0,4164,9583,1
28,5419,0,4153,9572,1
29,9153,45,449,9557,0
30,9149,41,446,9554,0
31,9149,40,438,9547,0
35,9149,39,433,9543,0
36,9149,38,426,9537,0
37,5419,0,4112,9531,1
38,5419,0,4101,9520,1
42,9143,41,400,9502,0
43,5419,0,4072,9491,1
44,5419,0,4056,9475,1
45,8985,51,525,9459,0
49,5419,0,4027,9446,1
50,8928,53,552,9427,0
51,8926,49,536,9413,0
52,8926,46,519,9399,0
56,5419,0,3964,9383,1
57,8926,46,484,9364,0
58,5419,0,3932,9351,1
59,8926,47,458,9337,0
63,8926,47,448,9327,0
64,8926,46,436,9316,0
65,5419,0,3889,9308,1
66,8926,45,414,9295,0
70,5419,0,3870,9289,1
71,8926,47,399,9278,0
72,8926,46,396,9276,0
73,5419,0,3852,9271,1
77,8926,46,384,9264,0
78,5419,0,3841,9260,1
79,8926,47,380,9259,0
80,8926,47,376,9255,0
84,8926,46,374,9254,0
85,8926,45,370,9251,0
86,8926,43,365,9248,0
87,5419,0,3829,9248,1
91,5419,0,3828,9247,1
92,8926,44,362,9244,0
93,8926,44,360,9242,0
94,8926,44,358,9240,0
98,8926,42,357,9241,0
99,8926,41,356,9241,0
100,8926,39,354,9241,0
101,5419,0,3822,9241,1
105,8926,39,354,9241,0
106,5419,0,3821,9240,1
107,8926,42,351,9235,0
108,8926,42,350,9234,0
112,8926,41,350,9235,0
113,8926,39,348,9235,0
114,5419,0,3816,9235,1
115,5419,0,3816,9235,1
119,8926,43,348,9231,0
120,8926,42,347,9231,0
121,8926,42,346,9230,0
122,5419,0,3812,9231,1
126,8926,42,345,9229,0
127,8926,42,345,9229,0
128,8926,40,345,9231,0
129,5419,0,3812,9231,1
133,8926,40,344,9230,0
134,5419,0,3811,9230,1
135,5419,0,3808,9227,1
136,8926,45,343,9224,0
140,8926,45,343,9224,0
141,8926,44,342,9224,0
142,8926,42,342,9226,0
143,5419,0,3807,9226,1
147,8926,42,341,9225,0
148,8926,42,341,9225,0
149,8926,42,341,9225,0
150,8926,40,341,9227,0
154,8926,39,341,9228,0
155,8926,38,341,9229,0
156,8926,36,341,9231,0
157,8926,36,341,9231,0
161,5419,0,3813,9232,1
162,8926,35,340,9231,0
163,8926,35,340,9231,0
164,8926,35,340,9231,0
168,8926,35,340,9231,0
169,8926,35,340,9231,0
170,8926,35,340,9231,0
171,8926,34,340,9232,0
175,8926,34,340,9232,0
176,5419,0,3813,9232,1
177,8926,34,340,9232,0
178,8926,34,340,9232,0
182,8926,34,340,9232,0
183,8926,34,340,9232,0
184,5419,0,3813,9232,1
185,8926,34,340,9232,0
189,5419,0,3813,9232,1
190,5419,0,3813,9232,1
191,8926,35,340,9231,0
192,8926,35,340,9231,0
196,8926,35,340,9231,0
197,8926,35,340,9231,0
198,8926,35,340,9231,0
199,8926,35,340,9231,0
203,8926,35,340,9231,0
204,5419,0,3812,9231,1
205,8926,35,340,9231,0
206,8926,35,340,9231,0
210,8926,35,340,9231,0
211,8926,35,340,9231,0
212,8926,35,340,9231,0
213,8926,34,340,9232,0
217,8926,34,340,9232,0
218,8926,34,340,9232,0
219,5419,0,3813,9232,1
220,8926,34,340,9232,0
224,8926,34,340,9232,0
225,5419,0,3813,9232,1
226,8926,34,340,9232,0
227,8926,34,340,9232,0
231,8926,34,340,9232,0
232,5419,0,3813,9232,1
233,8926,34,340,9232,0
234,8926,34,340,9232,0
238,8926,34,340,9232,0
239,5419,0,3813,9232,1
240,8926,34,340,9232,0
241,8926,34,340,9232,0
245,5419,0,3813,9232,1
246,8926,35,340,9231,0
247,8926,35,340,9231,0
248,5419,0,3812,9231,1
252,8926,35,340,9231,0
253,8926,35,340,9231,0
254,8926,35,340,9231,0
255,5419,0,3812,9231,1
259,5419,0,3812,9231,1
260,8926,40,340,9226,0
261,8926,40,340,9226,0
262,8926,38,340,9228,0
266,8926,37,340,9229,0
267,8926,37,340,9229,0
268,8926,35,340,9231,0
269,5419,0,3812,9231,1
273,8926,35,340,9231,0
274,8926,35,340,9231,0
275,8926,35,340,9231,0
276,8926,35,340,9231,0
280,5419,0,3812,9231,1
281,8926,35,340,9231,0
282,8926,35,340,9231,0
283,8926,35,340,9231,0
287,5419,0,3812,9231,1
288,5419,0,3812,9231,1
289,5419,0,3810,9229,1
290,8926,42,340,9224,0
294,5419,0,3805,9224,1
295,8926,44,340,9222,0
296,8926,44,340,9222,0
297,8926,44,340,9222,0
301,5419,0,3805,9224,1
302,5419,0,3804,9223,1
303,8926,46,340,9220,0
304,5419,0,3801,9220,1
308,8926,50,340,9216,0
309,8926,48,340,9218,0
310,5419,0,3802,9221,1
311,5419,0,3801,9220,1
315,8824,59,440,9205,0
316,5419,0,3784,9203,1
317,8774,63,479,9190,0
318,8771,60,466,9177,0
322,8771,55,458,9174,0
323,8771,50,449,9170,0
324,8771,47,440,9164,0
325,5419,0,3739,9158,1
329,5419,0,3730,9149,1
330,8771,51,415,9135,0
331,5419,0,3713,9132,1
332,8771,55,406,9122,0
336,8771,51,402,9122,0
337,8771,49,396,9118,0
338,8771,47,391,9115,0
339,8771,46,388,9113,0
343,5419,0,3693,9112,1
344,8771,45,383,9109,0
345,5419,0,3690,9109,1
346,8771,46,381,9106,0
350,5419,0,3687,9106,1
351,5419,0,3681,9100,1
352,5419,0,3672,9091,1
353,8700,61,436,9075,0
357,5419,0,3655,9074,1
358,5419,0,3647,9066,1
359,5419,0,3621,9040,1
360,8419,66,651,9004,0
364,5419,0,3570,8989,1
365,5419,0,3552,8971,1
