Day,ActiveMode,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,ActiveNorm,Rain
0,7858,0,0,7858,1
1,7688,8,239,7919,0
2,7686,6,237,7917,0
3,4063,0,3853,7916,1
7,4063,0,3849,7912,1
8,4063,0,3846,7909,1
9,4063,0,3837,7900,1
10,4063,0,3833,7896,1
14,7467,12,431,7886,0
15,7467,11,423,7879,0
16,7467,11,417,7873,0
17,7467,11,409,7865,0
21,4063,0,3786,7849,1
22,7467,11,380,7836,0
23,7467,11,355,7811,0
24,4063,0,3729,7792,1
28,4063,0,3712,7775,1
29,7383,18,389,7754,0
30,7381,16,379,7744,0
31,7381,15,371,7737,0
35,7381,14,356,7723,0
36,7381,13,343,7711,0
37,4063,0,3634,7697,1
38,4063,0,3621,7684,1
42,7377,16,312,7673,0
43,4063,0,3604,7667,1
44,4063,0,3595,7658,1
45,7198,22,465,7641,0
49,4063,0,3567,7630,1
50,7141,24,490,7607,0
51,7140,22,468,7586,0
52,7140,21,449,7568,0
56,4063,0,3486,7549,1
57,7140,19,403,7524,0
58,4063,0,3445,7508,1
59,7140,21,373,7492,0
63,7140,21,354,7473,0
64,7140,21,338,7457,0
65,4063,0,3387,7450,1
66,7140,17,317,7440,0
70,4063,0,3371,7434,1
71,7140,18,303,7425,0
72,7140,18,299,7421,0
73,4063,0,3353,7416,1
77,7140,18,285,7407,0
78,4063,0,3340,7403,1
79,7140,20,277,7397,0
80,7140,20,273,7393,0
84,7140,20,267,7387,0
85,7140,17,267,7390,0
86,7140,17,265,7388,0
87,4063,0,3321,7384,1
91,4063,0,3320,7383,1
92,7140,16,258,7382,0
93,7140,16,257,7381,0
94,7140,16,257,7381,0
98,7140,16,255,7379,0
99,7140,16,254,7378,0
100,7140,15,251,7376,0
101,4063,0,3313,7376,1
105,7140,15,250,7375,0
106,4063,0,3312,7375,1
107,7140,16,249,7373,0
108,7140,16,248,7372,0
112,7140,16,247,7371,0
113,7140,14,247,7373,0
114,4063,0,3310,7373,1
115,4063,0,3308,7371,1
119,7140,16,245,7369,0
120,7140,16,245,7369,0
121,7140,16,245,7369,0
122,4063,0,3306,7369,1
126,7140,16,244,7368,0
127,7140,16,244,7368,0
128,7140,16,243,7367,0
129,4063,0,3305,7368,1
133,7140,16,242,7366,0
134,4063,0,3303,7366,1
135,4063,0,3303,7366,1
136,7140,17,242,7365,0
140,7140,17,242,7365,0
141,7140,16,242,7366,0
142,7140,16,242,7366,0
143,4063,0,3303,7366,1
147,7140,16,241,7365,0
148,7140,16,241,7365,0
149,7140,16,241,7365,0
150,7140,16,241,7365,0
154,7140,14,241,7367,0
155,7140,13,241,7368,0
156,7140,13,241,7368,0
157,7140,13,241,7368,0
161,4063,0,3306,7369,1
162,7140,13,241,7368,0
163,7140,13,241,7368,0
164,7140,13,241,7368,0
168,7140,12,241,7369,0
169,7140,12,241,7369,0
170,7140,12,241,7369,0
171,7140,12,241,7369,0
175,7140,12,241,7369,0
176,4063,0,3307,7370,1
177,7140,11,241,7370,0
178,7140,11,241,7370,0
182,7140,11,241,7370,0
183,7140,11,241,7370,0
184,4063,0,3307,7370,1
185,7140,11,241,7370,0
189,4063,0,3307,7370,1
190,4063,0,3306,7369,1
191,7140,13,241,7368,0
192,7140,13,241,7368,0
196,7140,12,241,7369,0
197,7140,12,241,7369,0
198,7140,12,241,7369,0
199,7140,12,241,7369,0
203,7140,11,241,7370,0
204,4063,0,3307,7370,1
205,7140,11,241,7370,0
206,7140,11,241,7370,0
210,7140,11,241,7370,0
211,7140,11,241,7370,0
212,7140,11,241,7370,0
213,7140,11,241,7370,0
217,7140,11,241,7370,0
218,7140,11,241,7370,0
219,4063,0,3307,7370,1
220,7140,11,241,7370,0
224,7140,11,241,7370,0
225,4063,0,3307,7370,1
226,7140,11,241,7370,0
227,7140,11,241,7370,0
231,7140,11,241,7370,0
232,4063,0,3307,7370,1
233,7140,11,241,7370,0
234,7140,11,241,7370,0
238,7140,11,241,7370,0
239,4063,0,3307,7370,1
240,7140,12,241,7369,0
241,7140,12,241,7369,0
245,4063,0,3306,7369,1
246,7140,12,241,7369,0
247,7140,12,241,7369,0
248,4063,0,3306,7369,1
252,7140,13,241,7368,0
253,7140,12,241,7369,0
254,7140,12,241,7369,0
255,4063,0,3306,7369,1
259,4063,0,3305,7368,1
260,7140,14,241,7367,0
261,7140,14,241,7367,0
262,7140,14,241,7367,0
266,7140,13,241,7368,0
267,7140,12,241,7369,0
268,7140,12,241,7369,0
269,4063,0,3306,7369,1
273,7140,12,241,7369,0
274,7140,12,241,7369,0
275,7140,12,241,7369,0
276,7140,12,241,7369,0
280,4063,0,3307,7370,1
281,7140,12,241,7369,0
282,7140,12,241,7369,0
283,7140,12,241,7369,0
287,4063,0,3306,7369,1
288,4063,0,3306,7369,1
289,4063,0,3305,7368,1
290,7140,14,241,7367,0
294,4063,0,3304,7367,1
295,7140,14,241,7367,0
296,7140,14,241,7367,0
297,7140,14,241,7367,0
301,4063,0,3304,7367,1
302,4063,0,3304,7367,1
303,7140,20,241,7361,0
304,4063,0,3298,7361,1
308,7140,22,241,7359,0
309,7140,21,241,7360,0
310,4063,0,3297,7360,1
311,4063,0,3297,7360,1
315,7048,30,332,7350,0
316,4063,0,3283,7346,1
317,7005,28,364,7341,0
318,7005,28,353,7330,0
322,7005,24,343,7324,0
323,7005,22,335,7318,0
324,7005,19,320,7306,0
325,4063,0,3235,7298,1
329,4063,0,3224,7287,1
330,7005,21,292,7276,0
331,4063,0,3208,7271,1
332,7005,26,282,7261,0
336,7005,24,275,7256,0
337,7005,22,274,7257,0
338,7005,21,268,7252,0
339,7005,19,267,7253,0
343,4063,0,3189,7252,1
344,7005,19,263,7249,0
345,4063,0,3184,7247,1
346,7005,19,259,7245,0
350,4063,0,3179,7242,1
351,4063,0,3178,7241,1
352,4063,0,3171,7234,1
353,6951,34,305,7222,0
357,4063,0,3157,7220,1
358,4063,0,3147,7210,1
359,4063,0,3118,7181,1
360,6627,45,559,7141,0
364,4063,0,3060,7123,1
365,4063,0,3033,7096,1
