Day,Rain,ActiveMode,ActiveNorm,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,LocalCommute,CityCommute,DistantCommute,Subculture A,Subculture B,Subculture C,0,1,4,3
0,0,10008,10008,0,0,5822,4186,0,3320,0,6688,1702,2496,2446,3364
1,1,7659,9109,3230,4680,5524,2135,0,2889,0,4770,843,1412,2316,3088
2,0,9923,4023,7272,1372,5819,4104,0,3317,0,6606,1673,2441,2445,3364
3,0,9958,9002,4587,3631,5820,4138,0,3318,0,6640,1682,2467,2445,3364
4,0,9958,9056,4565,3663,5820,4138,0,3318,0,6640,1682,2467,2445,3364
7,0,9958,9044,4576,3662,5820,4138,0,3318,0,6640,1682,2467,2445,3364
8,0,9958,9054,4570,3666,5820,4138,0,3318,0,6640,1682,2467,2445,3364
9,1,7656,9060,3238,4642,5522,2134,0,2887,0,4769,843,1410,2316,3087
10,0,9737,4021,7087,1371,5804,3933,0,3298,0,6439,1594,2342,2443,3358
11,0,9828,8646,4615,3433,5814,4014,0,3310,0,6518,1625,2399,2443,3361
14,0,9828,8817,4528,3517,5814,4014,0,3310,0,6518,1625,2399,2443,3361
15,0,9828,8825,4525,3522,5814,4014,0,3310,0,6518,1625,2399,2443,3361
16,0,9828,8838,4517,3527,5814,4014,0,3310,0,6518,1625,2399,2443,3361
17,1,7641,8834,3279,4472,5514,2127,0,2877,0,4764,843,1402,2315,3081
18,0,9529,3990,6892,1353,5780,3749,0,3270,0,6259,1509,2230,2440,3350
21,1,7582,8220,3445,4083,5477,2105,0,2827,0,4755,843,1366,2311,3062
22,0,8942,3900,6388,1346,5702,3240,0,3178,0,5764,1276,1921,2430,3315
23,0,9005,6542,4939,2476,5712,3293,0,3190,0,5815,1292,1962,2430,3321
24,1,7416,6661,3871,3116,5387,2029,0,2706,0,4710,842,1277,2296,3001
25,1,7220,3608,5136,1524,5275,1945,0,2562,0,4658,842,1169,2286,2923
28,0,7841,3261,5827,1247,5512,2329,0,2895,0,4946,900,1448,2368,3125
29,0,7848,4288,5266,1706,5513,2335,0,2897,0,4951,901,1453,2368,3126
30,1,6985,4303,4501,1819,5169,1816,0,2402,0,4583,842,1077,2240,2826
31,0,7690,2808,5954,1072,5474,2216,0,2839,0,4851,873,1387,2346,3084
32,0,7694,4053,5303,1662,5475,2219,0,2840,0,4854,873,1389,2346,3086
35,0,7694,4068,5291,1665,5475,2219,0,2840,0,4854,873,1389,2346,3086
36,0,7694,4059,5295,1660,5475,2219,0,2840,0,4854,873,1389,2346,3086
37,0,7694,4070,5285,1661,5475,2219,0,2840,0,4854,873,1389,2346,3086
38,0,7694,4064,5291,1661,5475,2219,0,2840,0,4854,873,1389,2346,3086
39,1,6941,4058,4604,1721,5155,1786,0,2375,0,4566,842,1064,2235,2800
42,0,7686,2705,5997,1016,5471,2215,0,2836,0,4850,873,1385,2345,3083
43,0,7689,4056,5288,1655,5473,2216,0,2838,0,4851,873,1388,2345,3083
44,0,7689,4054,5291,1656,5473,2216,0,2838,0,4851,873,1388,2345,3083
