Day,Rain,ActiveMode,ActiveNorm,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,LocalCommute,CityCommute,DistantCommute,Subculture A,Subculture B,Subculture C,0,1,2,3
0,0,9108,9108,0,0,4935,4173,0,2456,0,6652,1693,2427,1668,3320
1,1,5948,5694,3375,3121,4558,1390,0,2042,0,3906,809,1333,767,3039
2,0,8154,1621,7067,534,4928,3226,0,2451,0,5703,1573,2372,890,3319
3,0,8220,4478,5462,1720,4931,3289,0,2455,0,5765,1610,2399,891,3320
4,0,8220,4572,5411,1763,4931,3289,0,2455,0,5765,1610,2399,891,3320
7,0,8220,4577,5405,1762,4931,3289,0,2455,0,5765,1610,2399,891,3320
8,0,8220,4575,5410,1765,4931,3289,0,2455,0,5765,1610,2399,891,3320
9,1,5797,4579,3614,2396,4408,1389,0,2031,0,3766,809,1322,628,3038
10,0,7836,1556,6798,518,4898,2938,0,2436,0,5400,1398,2270,853,3315
11,0,7921,4020,5414,1513,4908,3013,0,2445,0,5476,1426,2325,854,3316
14,0,7921,4150,5349,1578,4908,3013,0,2445,0,5476,1426,2325,854,3316
15,0,7921,4158,5343,1580,4908,3013,0,2445,0,5476,1426,2325,854,3316
16,0,7921,4149,5351,1579,4908,3013,0,2445,0,5476,1426,2325,854,3316
17,1,5767,4153,3740,2126,4382,1385,0,2012,0,3755,809,1306,618,3034
18,0,7531,1530,6512,511,4859,2672,0,2421,0,5110,1250,2145,826,3310
21,1,5695,3585,3851,1741,4333,1362,0,1962,0,3733,809,1268,607,3011
22,0,6863,1456,5914,507,4710,2153,0,2315,0,4548,1008,1808,765,3282
23,0,6898,2537,5310,949,4718,2180,0,2324,0,4574,1015,1833,765,3285
24,1,5520,2573,4138,1191,4208,1312,0,1829,0,3691,808,1165,586,2961
25,1,5358,1270,4635,547,4103,1255,0,1701,0,3657,808,1064,582,2904
28,0,5820,1116,5175,471,4379,1441,0,2024,0,3796,818,1324,618,3060
29,0,5829,1564,4935,670,4383,1446,0,2028,0,3801,818,1333,618,3060
30,1,5145,1568,4270,693,3982,1163,0,1566,0,3579,808,980,545,2812
31,0,5736,929,5201,394,4338,1398,0,1979,0,3757,813,1279,611,3033
32,0,5746,1488,4900,642,4342,1404,0,1984,0,3762,813,1286,611,3036
35,0,5746,1497,4893,644,4342,1404,0,1984,0,3762,813,1286,611,3036
36,0,5746,1500,4893,647,4342,1404,0,1984,0,3762,813,1286,611,3036
37,0,5746,1495,4900,649,4342,1404,0,1984,0,3762,813,1286,611,3036
38,0,5746,1503,4893,650,4342,1404,0,1984,0,3762,813,1286,611,3036
39,1,5124,1492,4286,654,3971,1153,0,1549,0,3575,808,970,544,2802
42,0,5732,915,5208,391,4335,1397,0,1976,0,3756,813,1276,611,3032
43,0,5737,1484,4891,638,4336,1401,0,1978,0,3759,813,1279,611,3034
44,0,5737,1489,4889,641,4336,1401,0,1978,0,3759,813,1279,611,3034
45,1,5123,1493,4282,652,3970,1153,0,1548,0,3575,808,969,544,2802
46,0,5691,906,5173,388,4303,1388,0,1943,0,3748,813,1249,606,3023
49,1,5113,1450,4295,632,3962,1151,0,1539,0,3574,808,962,543,2800
50,0,5510,900,4996,386,4173,1337,0,1810,0,3700,812,1142,583,2973
51,1,5031,1267,4305,541,3920,1111,0,1490,0,3541,808,934,529,2760
52,1,4960,845,4488,373,3896,1064,0,1452,0,3508,808,918,523,2711
53,1,4953,812,4503,362,3895,1058,0,1448,0,3505,808,917,523,2705
56,1,4951,800,4504,353,3895,1056,0,1448,0,3503,808,917,523,2703
57,1,4951,807,4500,356,3895,1056,0,1448,0,3503,808,917,523,2703
58,1,4951,801,4504,354,3895,1056,0,1448,0,3503,808,917,523,2703
59,1,4951,802,4506,357,3895,1056,0,1448,0,3503,808,917,523,2703
60,0,4953,800,4509,356,3895,1058,0,1448,0,3505,808,917,523,2705
63,1,4736,797,4292,353,3835,901,0,1338,0,3398,808,878,504,2546
64,0,4951,641,4609,299,3895,1056,0,1448,0,3503,808,917,523,2703
65,1,4736,804,4288,356,3835,901,0,1338,0,3398,808,878,504,2546
66,0,4951,635,4613,297,3895,1056,0,1448,0,3503,808,917,523,2703
67,0,4951,795,4509,353,3895,1056,0,1448,0,3503,808,917,523,2703
70,1,4736,801,4290,355,3835,901,0,1338,0,3398,808,878,504,2546
71,0,4950,637,4609,296,3894,1056,0,1448,0,3502,808,916,523,2703
72,0,4950,806,4500,356,3894,1056,0,1448,0,3502,808,916,523,2703
73,1,4736,800,4291,355,3835,901,0,1338,0,3398,808,878,504,2546
74,0,4944,634,4607,297,3890,1054,0,1443,0,3501,808,914,523,2699
77,1,4733,799,4291,357,3835,898,0,1336,0,3397,808,878,504,2543
78,0,4897,636,4559,298,3861,1036,0,1422,0,3475,808,903,505,2681
79,1,4721,784,4289,352,3831,890,0,1328,0,3393,808,877,502,2534
80,0,4781,629,4448,296,3843,938,0,1365,0,3416,808,886,504,2583
81,0,4781,653,4434,306,3843,938,0,1365,0,3416,808,886,504,2583
84,0,4781,655,4431,305,3843,938,0,1365,0,3416,808,886,504,2583
85,1,4623,658,4270,305,3822,801,0,1273,0,3350,808,870,502,2443
86,0,4767,541,4488,262,3841,926,0,1356,0,3411,808,884,504,2571
87,0,4767,651,4421,305,3841,926,0,1356,0,3411,808,884,504,2571
88,0,4767,649,4423,305,3841,926,0,1356,0,3411,808,884,504,2571
