Day,Rain,ActiveMode,ActiveNorm,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,LocalCommute,CityCommute,DistantCommute,Subculture A,Subculture B,Subculture C,0,1,4,3
0,0,15158,15158,0,0,4994,5005,5159,5139,4996,5023,3871,3729,3679,3879
1,0,9964,19078,3552,12666,4996,4932,36,3372,3228,3364,2539,2412,2443,2570
2,1,4791,8257,3142,6608,4144,646,1,1688,1220,1883,875,839,1463,1614
3,0,7303,680,7061,438,4722,2581,0,2581,1781,2941,1671,1459,1994,2179
4,0,7457,3543,6289,2375,4763,2694,0,2621,1853,2983,1716,1526,2007,2208
7,1,4341,3713,3531,2903,3826,515,0,1491,1111,1739,787,694,1366,1494
8,0,6126,485,5956,315,4462,1664,0,2179,1413,2534,1316,1079,1827,1904
9,1,3998,1745,3580,1327,3582,416,0,1386,1001,1611,696,615,1293,1394
10,0,5174,371,5046,243,4161,1013,0,1867,1193,2114,1012,868,1607,1687
11,1,3754,907,3534,687,3415,339,0,1317,904,1533,648,579,1221,1306
14,1,3550,315,3468,233,3270,280,0,1258,809,1483,624,543,1163,1220
15,0,4150,268,4074,192,3639,511,0,1451,962,1737,753,632,1342,1423
16,1,3409,427,3304,322,3186,223,0,1206,759,1444,613,530,1082,1184
17,0,3901,233,3836,168,3461,440,0,1381,873,1647,699,582,1282,1338
18,0,3905,347,3813,255,3462,443,0,1381,874,1650,699,583,1283,1340
21,0,3905,346,3813,254,3462,443,0,1381,874,1650,699,583,1283,1340
22,0,3905,350,3812,257,3462,443,0,1381,874,1650,699,583,1283,1340
23,1,3358,350,3272,264,3152,206,0,1194,736,1428,608,527,1057,1166
24,0,3835,223,3774,162,3406,429,0,1363,837,1635,691,577,1261,1306
25,0,3837,333,3748,244,3406,431,0,1365,837,1635,691,577,1261,1308
28,0,3837,335,3748,246,3406,431,0,1365,837,1635,691,577,1261,1308
29,0,3837,333,3748,244,3406,431,0,1365,837,1635,691,577,1261,1308
30,0,3837,333,3747,243,3406,431,0,1365,837,1635,691,577,1261,1308
31,0,3837,332,3747,242,3406,431,0,1365,837,1635,691,577,1261,1308
32,0,3837,332,3747,242,3406,431,0,1365,837,1635,691,577,1261,1308
35,1,3337,337,3251,251,3140,197,0,1190,729,1418,606,525,1051,1155
36,0,3821,219,3762,160,3392,429,0,1361,827,1633,688,571,1259,1303
37,0,3825,334,3734,243,3396,429,0,1362,828,1635,689,572,1260,1304
38,0,3825,330,3736,241,3396,429,0,1362,828,1635,689,572,1260,1304
39,0,3825,334,3735,244,3396,429,0,1362,828,1635,689,572,1260,1304
42,0,3825,328,3737,240,3396,429,0,1362,828,1635,689,572,1260,1304
43,1,3335,330,3252,247,3139,196,0,1189,728,1418,606,524,1051,1154
44,1,3294,221,3239,166,3109,185,0,1183,703,1408,601,518,1041,1134
45,0,3547,210,3492,155,3193,354,0,1271,737,1539,634,541,1152,1220
46,1,3249,265,3181,197,3080,169,0,1167,690,1392,596,511,1020,1122
49,0,3405,195,3354,144,3139,266,0,1219,719,1467,610,522,1098,1175
50,0,3406,226,3345,165,3139,267,0,1220,719,1467,610,522,1099,1175
51,0,3406,227,3345,166,3139,267,0,1220,719,1467,610,522,1099,1175
52,1,3222,222,3162,162,3059,163,0,1156,677,1389,596,509,1001,1116
53,0,3375,196,3323,144,3121,254,0,1209,706,1460,608,520,1091,1156
56,1,3209,219,3152,162,3051,158,0,1151,673,1385,595,506,996,1112
57,1,3203,193,3153,143,3046,157,0,1150,669,1384,595,503,993,1112
58,0,3263,189,3214,140,3077,186,0,1174,682,1407,600,514,1021,1128
59,1,3166,195,3115,144,3020,146,0,1141,652,1373,592,500,968,1106
60,0,3238,176,3192,130,3058,180,0,1164,671,1403,599,507,1009,1123
63,0,3238,188,3189,139,3058,180,0,1164,671,1403,599,507,1009,1123
64,0,3238,191,3188,141,3058,180,0,1164,671,1403,599,507,1009,1123
65,0,3238,191,3188,141,3058,180,0,1164,671,1403,599,507,1009,1123
66,1,3159,194,3109,144,3015,144,0,1137,650,1372,592,499,962,1106
67,0,3236,173,3191,128,3056,180,0,1163,670,1403,599,507,1007,1123
70,0,3236,192,3186,142,3056,180,0,1163,670,1403,599,507,1007,1123
71,1,3158,192,3109,143,3015,143,0,1137,650,1371,592,499,961,1106
72,0,3223,172,3178,127,3047,176,0,1158,666,1399,595,503,1006,1119
73,0,3223,190,3175,142,3047,176,0,1158,666,1399,595,503,1006,1119
74,0,3223,191,3175,143,3047,176,0,1158,666,1399,595,503,1006,1119
77,1,3156,191,3108,143,3014,142,0,1137,650,1369,591,499,961,1105
