Day,Rain,ActiveMode,ActiveNorm,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,LocalCommute,CityCommute,DistantCommute,Subculture A,Subculture B,Subculture C,0,1,2,3
0,0,14960,14960,0,0,4974,4983,5003,4989,4974,4997,3773,3706,3787,3694
1,0,9516,18801,3332,12617,4918,4598,0,3204,3014,3298,2500,2436,2105,2475
2,1,3670,6895,2503,5728,3298,372,0,1253,953,1464,884,807,426,1553
3,0,5697,264,5606,173,3991,1706,0,1998,1334,2365,1585,1369,635,2108
4,0,5786,1316,5347,877,4013,1773,0,2027,1364,2395,1609,1406,642,2129
7,1,3008,1385,2712,1089,2752,256,0,982,771,1255,738,641,232,1397
8,0,4500,145,4452,97,3566,934,0,1586,995,1919,1221,1025,448,1806
9,1,2745,567,2625,447,2570,175,0,898,692,1155,689,575,199,1282
10,0,3687,116,3654,83,3156,531,0,1283,816,1588,952,797,342,1596
11,1,2577,256,2526,205,2456,121,0,851,642,1084,645,542,189,1201
14,1,2450,93,2437,80,2355,95,0,820,582,1048,618,510,183,1139
15,0,2826,78,2812,64,2588,238,0,933,659,1234,718,572,212,1324
16,1,2364,122,2345,103,2300,64,0,799,557,1008,602,493,169,1100
17,0,2658,69,2647,58,2469,189,0,893,597,1168,678,537,196,1247
18,0,2660,102,2642,84,2470,190,0,894,597,1169,678,538,196,1248
21,0,2660,104,2642,86,2470,190,0,894,597,1169,678,538,196,1248
22,0,2660,103,2642,85,2470,190,0,894,597,1169,678,538,196,1248
23,1,2341,104,2324,87,2283,58,0,792,551,998,597,489,167,1088
24,0,2622,69,2611,58,2442,180,0,886,582,1154,675,532,192,1223
25,0,2623,99,2605,81,2443,180,0,886,582,1155,675,532,192,1224
28,0,2623,95,2606,78,2443,180,0,886,582,1155,675,532,192,1224
29,0,2623,97,2606,80,2443,180,0,886,582,1155,675,532,192,1224
30,0,2623,98,2605,80,2443,180,0,886,582,1155,675,532,192,1224
31,0,2623,96,2605,78,2443,180,0,886,582,1155,675,532,192,1224
32,0,2623,96,2606,79,2443,180,0,886,582,1155,675,532,192,1224
35,1,2336,96,2320,80,2281,55,0,791,550,995,596,489,167,1084
36,0,2611,68,2599,56,2431,180,0,885,572,1154,672,524,192,1223
37,0,2611,93,2594,76,2431,180,0,885,572,1154,672,524,192,1223
38,0,2611,95,2594,78,2431,180,0,885,572,1154,672,524,192,1223
39,0,2611,94,2594,77,2431,180,0,885,572,1154,672,524,192,1223
42,0,2611,94,2595,78,2431,180,0,885,572,1154,672,524,192,1223
43,1,2333,93,2318,78,2279,54,0,791,548,994,596,488,167,1082
44,1,2320,69,2309,58,2269,51,0,790,541,989,593,484,167,1076
45,0,2450,66,2438,54,2333,117,0,822,551,1077,625,500,179,1146
46,1,2291,76,2278,63,2255,36,0,779,532,980,589,479,167,1056
49,0,2361,66,2350,55,2286,75,0,798,543,1020,605,487,167,1102
50,0,2361,68,2350,57,2286,75,0,798,543,1020,605,487,167,1102
51,0,2361,67,2350,56,2286,75,0,798,543,1020,605,487,167,1102
52,1,2276,70,2264,58,2241,35,0,777,526,973,584,477,165,1050
53,0,2343,64,2333,54,2276,67,0,795,541,1007,599,485,167,1092
56,1,2274,69,2263,58,2239,35,0,777,525,972,583,477,165,1049
57,1,2273,66,2262,55,2238,35,0,777,525,971,582,477,165,1049
58,0,2300,65,2290,55,2249,51,0,786,526,988,590,477,167,1066
59,1,2266,64,2256,54,2233,33,0,777,521,968,582,477,165,1042
60,0,2286,64,2275,53,2246,40,0,780,525,981,590,477,165,1054
63,0,2286,65,2276,55,2246,40,0,780,525,981,590,477,165,1054
64,0,2286,64,2276,54,2246,40,0,780,525,981,590,477,165,1054
65,0,2286,65,2275,54,2246,40,0,780,525,981,590,477,165,1054
66,1,2265,65,2255,55,2233,32,0,777,521,967,582,477,165,1041
67,0,2285,65,2274,54,2245,40,0,780,525,980,589,477,165,1054
70,0,2285,65,2274,54,2245,40,0,780,525,980,589,477,165,1054
71,1,2265,66,2254,55,2233,32,0,777,521,967,582,477,165,1041
72,0,2278,64,2267,53,2241,37,0,777,522,979,588,477,165,1048
73,0,2278,65,2268,55,2241,37,0,777,522,979,588,477,165,1048
74,0,2278,65,2267,54,2241,37,0,777,522,979,588,477,165,1048
77,1,2265,63,2255,53,2233,32,0,777,521,967,582,477,165,1041
78,0,2272,66,2262,56,2236,36,0,777,521,974,585,477,165,1045
79,1,2262,66,2251,55,2231,31,0,776,520,966,581,476,165,1040
80,1,2262,65,2252,55,2231,31,0,776,520,966,581,476,165,1040
81,0,2265,67,2254,56,2232,33,0,777,520,968,582,476,165,1042
84,0,2265,64,2254,53,2232,33,0,777,520,968,582,476,165,1042
85,0,2265,62,2255,52,2232,33,0,777,520,968,582,476,165,1042
86,0,2265,66,2254,55,2232,33,0,777,520,968,582,476,165,1042
87,1,2262,66,2251,55,2231,31,0,776,520,966,581,476,165,1040
88,0,2265,65,2255,55,2232,33,0,777,520,968,582,476,165,1042
91,0,2265,64,2254,53,2232,33,0,777,520,968,582,476,165,1042
92,1,2262,64,2251,53,2231,31,0,776,520,966,581,476,165,1040
93,1,2262,64,2251,53,2231,31,0,776,520,966,581,476,165,1040
94,0,2263,64,2253,54,2231,32,0,777,520,966,581,476,165,1041
95,0,2263,62,2253,52,2231,32,0,777,520,966,581,476,165,1041
98,0,2263,65,2253,55,2231,32,0,777,520,966,581,476,165,1041
99,0,2263,66,2252,55,2231,32,0,777,520,966,581,476,165,1041
100,0,2263,66,2253,56,2231,32,0,777,520,966,581,476,165,1041
101,0,2263,66,2253,56,2231,32,0,777,520,966,581,476,165,1041
102,0,2263,64,2252,53,2231,32,0,777,520,966,581,476,165,1041
105,1,2262,65,2251,54,2231,31,0,776,520,966,581,476,165,1040
106,1,2262,63,2251,52,2231,31,0,776,520,966,581,476,165,1040
107,0,2262,63,2252,53,2231,31,0,776,520,966,581,476,165,1040
108,1,2262,64,2251,53,2231,31,0,776,520,966,581,476,165,1040
109,0,2262,63,2252,53,2231,31,0,776,520,966,581,476,165,1040
112,1,2262,64,2251,53,2231,31,0,776,520,966,581,476,165,1040
113,1,2262,65,2251,54,2231,31,0,776,520,966,581,476,165,1040
114,1,2262,63,2252,53,2231,31,0,776,520,966,581,476,165,1040
115,0,2262,65,2252,55,2231,31,0,776,520,966,581,476,165,1040
116,0,2262,66,2251,55,2231,31,0,776,520,966,581,476,165,1040
119,1,2262,64,2252,54,2231,31,0,776,520,966,581,476,165,1040
120,0,2262,66,2252,56,2231,31,0,776,520,966,581,476,165,1040
121,0,2262,66,2252,56,2231,31,0,776,520,966,581,476,165,1040
122,0,2262,62,2252,52,2231,31,0,776,520,966,581,476,165,1040
123,0,2262,63,2252,53,2231,31,0,776,520,966,581,476,165,1040
126,0,2262,63,2252,53,2231,31,0,776,520,966,581,476,165,1040
127,0,2262,64,2252,54,2231,31,0,776,520,966,581,476,165,1040
128,1,2262,65,2251,54,2231,31,0,776,520,966,581,476,165,1040
129,0,2262,67,2251,56,2231,31,0,776,520,966,581,476,165,1040
130,0,2262,63,2251,52,2231,31,0,776,520,966,581,476,165,1040
133,0,2262,64,2251,53,2231,31,0,776,520,966,581,476,165,1040
134,0,2262,65,2252,55,2231,31,0,776,520,966,581,476,165,1040
135,0,2262,63,2252,53,2231,31,0,776,520,966,581,476,165,1040
136,0,2262,64,2251,53,2231,31,0,776,520,966,581,476,165,1040
137,0,2262,66,2251,55,2231,31,0,776,520,966,581,476,165,1040
140,0,2262,64,2251,53,2231,31,0,776,520,966,581,476,165,1040
141,0,2262,65,2252,55,2231,31,0,776,520,966,581,476,165,1040
142,0,2262,65,2251,54,2231,31,0,776,520,966,581,476,165,1040
143,0,2262,65,2252,55,2231,31,0,776,520,966,581,476,165,1040
144,0,2262,63,2252,53,2231,31,0,776,520,966,581,476,165,1040
147,0,2262,65,2252,55,2231,31,0,776,520,966,581,476,165,1040
148,0,2262,66,2252,56,2231,31,0,776,520,966,581,476,165,1040
149,0,2262,64,2252,54,2231,31,0,776,520,966,581,476,165,1040
150,0,2262,63,2252,53,2231,31,0,776,520,966,581,476,165,1040
