Day,Rain,ActiveMode,ActiveNorm,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,LocalCommute,CityCommute,DistantCommute,Subculture A,Subculture B,Subculture C,0,1,2,3
0,0,14134,14134,0,0,5415,7742,977,4135,0,9999,3365,3601,3550,3618
1,0,7181,14277,2678,9774,4956,2225,0,3047,467,3667,1066,1644,2538,1933
2,0,7080,383,6928,231,4926,2154,0,2947,465,3668,1091,1553,2534,1902
3,0,7091,333,6942,184,4997,2094,0,2936,519,3636,1046,1540,2516,1989
4,0,7062,357,6918,213,4998,2064,0,2939,519,3604,1093,1535,2459,1975
7,0,6962,389,6806,233,4973,1989,0,2859,549,3554,1024,1534,2397,2007
8,0,6890,316,6760,186,4949,1941,0,2840,559,3491,969,1529,2359,2033
9,0,6923,301,6794,172,5005,1918,0,2867,584,3472,1004,1525,2345,2049
10,0,6842,293,6715,166,4971,1871,0,2816,609,3417,949,1521,2308,2064
11,0,6800,268,6702,170,4936,1864,0,2804,606,3390,946,1520,2284,2050
14,0,6793,258,6690,155,4945,1848,0,2798,646,3349,908,1514,2300,2071
15,0,6785,236,6689,140,4971,1814,0,2785,649,3351,887,1509,2280,2109
16,0,6705,243,6601,139,4898,1807,0,2740,638,3327,856,1508,2272,2069
17,0,6722,226,6629,133,4928,1794,0,2747,654,3321,854,1507,2255,2106
18,0,6680,231,6578,129,4895,1785,0,2732,659,3289,860,1506,2244,2070
21,1,4894,211,4833,150,3223,1671,0,2025,293,2576,837,1216,1459,1382
22,0,6685,33,6670,18,4923,1762,0,2705,700,3280,797,1496,2239,2153
23,0,6616,236,6522,142,4855,1761,0,2663,677,3276,799,1495,2215,2107
24,0,6644,207,6554,117,4875,1769,0,2681,696,3267,811,1494,2257,2082
25,0,6597,228,6504,135,4844,1753,0,2653,687,3257,782,1494,2229,2092
28,0,6634,213,6537,116,4889,1745,0,2650,720,3264,781,1492,2241,2120
29,0,6589,238,6496,145,4848,1741,0,2619,733,3237,752,1492,2239,2106
30,0,6644,219,6554,129,4896,1748,0,2640,749,3255,776,1492,2251,2125
31,0,6573,220,6486,133,4820,1753,0,2630,717,3226,754,1492,2222,2105
32,0,6609,214,6527,132,4858,1751,0,2633,744,3232,757,1492,2244,2116
35,0,6599,231,6508,140,4854,1745,0,2616,754,3229,737,1492,2238,2132
36,0,6589,213,6496,120,4841,1748,0,2617,754,3218,728,1492,2237,2132
37,1,4804,233,4733,162,3174,1630,0,1933,358,2513,711,1214,1457,1422
38,0,6530,35,6515,20,4795,1735,0,2599,724,3207,706,1487,2215,2122
39,0,6573,202,6491,120,4833,1740,0,2601,759,3213,704,1488,2237,2144
42,0,6537,204,6450,117,4799,1738,0,2609,715,3213,728,1488,2210,2111
43,1,4750,211,4685,146,3137,1613,0,1898,363,2489,698,1209,1467,1376
44,0,6532,25,6520,13,4810,1722,0,2588,743,3201,684,1485,2206,2157
45,0,6491,204,6404,117,4760,1731,0,2570,726,3195,699,1486,2210,2096
46,0,6498,195,6410,107,4772,1726,0,2561,754,3183,702,1486,2225,2085
49,0,6511,194,6429,112,4779,1732,0,2560,747,3204,684,1485,2221,2121
50,1,4777,188,4725,136,3185,1592,0,1918,369,2490,695,1206,1457,1419
51,1,4824,27,4815,18,3225,1599,0,1922,409,2493,658,1202,1425,1539
52,1,4765,24,4757,16,3173,1592,0,1906,364,2495,651,1200,1420,1494
53,0,6212,24,6201,13,4506,1706,0,2419,738,3055,645,1409,2075,2083
56,0,6206,136,6149,79,4499,1707,0,2407,724,3075,676,1406,2075,2049
57,0,6155,136,6095,76,4453,1702,0,2388,708,3059,663,1404,2066,2022
58,0,6222,123,6168,69,4515,1707,0,2413,716,3093,679,1404,2079,2060
59,0,6176,125,6124,73,4475,1701,0,2400,710,3066,655,1403,2074,2044
60,0,6213,149,6155,91,4507,1706,0,2387,730,3096,663,1404,2078,2068
63,0,6198,149,6138,89,4496,1702,0,2384,739,3075,662,1403,2076,2057
64,0,6197,151,6134,88,4492,1705,0,2405,713,3079,645,1402,2078,2072
