Day,ActiveMode,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,ActiveNorm,Rain
0,9582,0,0,9582,0
1,9447,29,296,9714,0
2,9444,26,295,9713,0
3,9444,25,291,9710,0
7,8853,25,881,9709,1
8,8853,25,879,9707,1
9,9407,25,322,9704,0
10,9407,25,318,9700,0
14,9407,25,315,9697,0
15,9407,25,315,9697,0
16,9407,25,312,9694,0
17,9407,25,308,9690,0
21,8853,25,860,9688,1
22,9403,25,307,9685,0
23,9403,25,303,9681,0
24,9403,24,303,9682,0
28,9403,24,301,9680,0
29,9403,24,300,9679,0
30,9403,24,300,9679,0
31,9403,24,299,9678,0
35,8853,24,847,9676,1
36,8853,24,846,9675,1
37,9387,24,310,9673,0
38,9387,24,308,9671,0
42,9387,24,305,9668,0
43,9387,24,302,9665,0
44,9387,24,299,9662,0
45,8853,24,832,9661,1
49,9387,24,293,9656,0
50,8853,23,826,9656,1
51,9378,23,300,9655,0
52,9378,23,299,9654,0
56,9378,23,295,9650,0
57,9378,23,294,9649,0
58,9378,23,294,9649,0
59,9378,23,291,9646,0
63,9378,23,288,9643,0
64,9378,23,287,9642,0
65,9378,23,286,9641,0
66,9378,23,287,9642,0
70,9378,23,286,9641,0
71,9378,23,286,9641,0
72,9378,23,286,9641,0
73,9378,23,283,9638,0
77,8853,23,807,9637,1
78,9378,23,281,9636,0
79,9378,23,280,9635,0
80,9378,23,280,9635,0
84,8853,23,805,9635,1
85,9378,23,280,9635,0
86,8853,23,804,9634,1
87,9378,23,279,9634,0
91,9378,23,279,9634,0
92,8853,23,803,9633,1
93,9374,23,282,9633,0
94,8853,23,803,9633,1
98,9362,23,294,9633,0
99,8853,23,800,9630,1
100,9356,23,297,9630,0
101,8853,23,800,9630,1
105,9350,23,303,9630,0
106,8853,23,800,9630,1
107,8853,23,800,9630,1
108,9340,23,313,9630,0
112,9340,23,313,9630,0
113,8853,23,800,9630,1
114,9340,23,313,9630,0
115,9340,23,312,9629,0
119,9340,22,312,9630,0
120,9340,22,311,9629,0
121,8853,22,798,9629,1
122,9340,22,311,9629,0
126,9340,22,311,9629,0
127,9340,22,310,9628,0
128,9340,22,310,9628,0
129,8853,22,795,9626,1
133,9340,22,307,9625,0
134,9340,22,307,9625,0
135,9340,22,307,9625,0
136,9340,22,307,9625,0
140,9340,22,307,9625,0
141,9340,22,307,9625,0
142,9340,22,307,9625,0
143,8853,22,792,9623,1
147,9340,22,305,9623,0
148,9340,22,305,9623,0
149,9340,22,305,9623,0
150,9340,22,305,9623,0
154,9340,22,305,9623,0
155,9340,22,304,9622,0
156,9340,22,303,9621,0
157,9340,22,303,9621,0
161,8853,22,790,9621,1
162,9340,22,303,9621,0
163,9340,22,302,9620,0
164,9340,22,302,9620,0
168,9340,22,302,9620,0
169,9340,22,302,9620,0
170,9340,22,302,9620,0
171,9340,22,301,9619,0
175,8853,22,787,9618,1
176,9340,22,300,9618,0
177,9340,22,300,9618,0
178,9340,22,300,9618,0
182,9340,22,300,9618,0
183,8853,22,787,9618,1
184,9340,22,300,9618,0
185,9340,22,299,9617,0
189,8853,22,786,9617,1
190,8853,22,786,9617,1
191,9340,22,299,9617,0
192,9340,22,299,9617,0
196,8853,22,786,9617,1
197,9340,22,299,9617,0
198,9340,22,299,9617,0
199,9340,22,299,9617,0
203,9340,22,299,9617,0
204,8853,22,786,9617,1
205,8853,22,786,9617,1
206,9340,22,299,9617,0
210,9340,22,298,9616,0
211,9340,22,298,9616,0
212,9340,22,298,9616,0
213,9340,22,298,9616,0
217,8853,22,785,9616,1
218,9340,22,298,9616,0
219,9340,22,298,9616,0
220,9340,22,298,9616,0
224,9340,22,298,9616,0
225,9340,22,298,9616,0
226,8853,22,785,9616,1
227,9340,22,298,9616,0
231,9340,22,298,9616,0
232,8853,22,785,9616,1
233,9340,22,298,9616,0
234,8853,22,785,9616,1
238,9340,22,298,9616,0
239,9340,22,298,9616,0
240,9340,22,298,9616,0
241,9340,22,298,9616,0
245,9340,22,298,9616,0
246,8853,22,785,9616,1
247,9340,22,298,9616,0
248,9340,22,298,9616,0
252,8853,22,785,9616,1
253,9340,22,298,9616,0
254,8853,22,785,9616,1
255,9340,22,298,9616,0
259,8853,22,785,9616,1
260,9340,22,298,9616,0
261,9340,22,298,9616,0
262,9340,22,298,9616,0
266,9340,22,298,9616,0
267,9340,22,298,9616,0
268,8853,22,785,9616,1
269,8853,22,785,9616,1
273,9340,22,298,9616,0
274,9340,22,298,9616,0
275,9340,22,298,9616,0
276,8853,22,785,9616,1
280,8853,22,785,9616,1
281,9340,22,298,9616,0
282,9340,22,298,9616,0
283,8853,22,785,9616,1
287,8853,22,785,9616,1
288,8853,22,785,9616,1
289,8853,22,785,9616,1
290,9328,22,310,9616,0
294,8853,22,785,9616,1
295,9326,22,312,9616,0
296,9326,22,312,9616,0
297,9326,22,312,9616,0
301,8853,22,785,9616,1
302,8853,22,785,9616,1
303,9326,22,312,9616,0
