Day,ActiveMode,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,ActiveNorm,Rain
0,8046,0,0,8046,0
1,7916,21,195,8090,0
2,7911,17,195,8089,0
3,7911,17,195,8089,0
7,7273,17,831,8087,1
8,7273,17,829,8085,1
9,7870,17,230,8083,0
10,7870,17,224,8077,0
14,7870,17,221,8074,0
15,7870,17,219,8072,0
16,7870,17,216,8069,0
17,7870,17,212,8065,0
21,7273,17,804,8060,1
22,7861,17,214,8058,0
23,7861,17,214,8058,0
24,7861,17,207,8051,0
28,7861,17,202,8046,0
29,7861,17,198,8042,0
30,7861,17,195,8039,0
31,7861,17,195,8039,0
35,7273,17,783,8039,1
36,7273,17,781,8037,1
37,7846,17,205,8034,0
38,7846,17,204,8033,0
42,7846,17,202,8031,0
43,7846,17,199,8028,0
44,7846,17,197,8026,0
45,7273,17,766,8022,1
49,7846,17,192,8021,0
50,7273,17,764,8020,1
51,7837,17,199,8019,0
52,7837,17,199,8019,0
56,7837,17,199,8019,0
57,7837,17,198,8018,0
58,7837,17,196,8016,0
59,7837,17,193,8013,0
63,7837,17,192,8012,0
64,7837,17,192,8012,0
65,7837,17,191,8011,0
66,7837,17,191,8011,0
70,7837,17,191,8011,0
71,7837,17,191,8011,0
72,7837,17,191,8011,0
73,7837,17,189,8009,0
77,7273,17,753,8009,1
78,7837,17,188,8008,0
79,7837,17,188,8008,0
80,7837,17,188,8008,0
84,7273,17,751,8007,1
85,7837,17,187,8007,0
86,7273,17,750,8006,1
87,7837,17,183,8003,0
91,7837,17,183,8003,0
92,7273,17,746,8002,1
93,7834,17,185,8002,0
94,7273,17,746,8002,1
98,7827,17,192,8002,0
99,7273,17,746,8002,1
100,7820,17,199,8002,0
101,7273,17,746,8002,1
105,7814,17,203,8000,0
106,7273,17,744,8000,1
107,7273,17,743,7999,1
108,7801,17,214,7998,0
112,7801,17,214,7998,0
113,7273,17,740,7996,1
114,7801,17,212,7996,0
115,7801,17,212,7996,0
119,7801,17,211,7995,0
120,7801,17,211,7995,0
121,7273,17,737,7993,1
122,7801,17,209,7993,0
126,7801,17,208,7992,0
127,7801,17,207,7991,0
128,7801,17,206,7990,0
129,7273,17,734,7990,1
133,7801,17,206,7990,0
134,7801,17,205,7989,0
