Day,ActiveMode,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,ActiveNorm,Rain
0,9615,0,0,9615,0
1,9503,25,306,9784,0
2,9501,23,306,9784,0
3,9501,22,303,9782,0
7,8945,22,858,9781,1
8,9487,22,315,9780,0
9,8945,22,856,9779,1
10,9470,22,329,9777,0
14,9470,22,329,9777,0
15,9470,21,328,9777,0
16,9470,21,325,9774,0
17,9470,21,321,9770,0
21,9470,21,318,9767,0
22,9470,21,315,9764,0
23,8945,20,840,9765,1
24,9469,20,314,9763,0
28,8945,20,838,9763,1
29,9458,19,324,9763,0
30,9458,19,322,9761,0
31,9458,19,319,9758,0
35,9458,19,318,9757,0
36,9458,19,317,9756,0
37,9458,19,315,9754,0
38,9458,19,314,9753,0
42,8945,19,826,9752,1
43,8945,19,825,9751,1
44,8945,19,825,9751,1
45,8945,19,825,9751,1
49,9430,20,340,9750,0
50,9429,19,340,9750,0
51,8945,19,822,9748,1
52,9429,19,337,9747,0
56,8945,19,821,9747,1
57,9425,19,339,9745,0
58,9425,19,338,9744,0
59,9425,19,337,9743,0
63,8945,18,817,9744,1
64,8945,18,817,9744,1
65,8945,17,817,9745,1
66,9410,17,351,9744,0
70,9410,17,350,9743,0
71,8945,17,814,9742,1
72,9410,17,347,9740,0
73,9410,17,346,9739,0
77,9410,17,345,9738,0
78,9410,17,345,9738,0
79,9410,17,345,9738,0
80,9410,17,344,9737,0
84,9410,17,344,9737,0
85,9410,17,342,9735,0
86,9410,17,342,9735,0
87,9410,17,342,9735,0
91,8945,17,807,9735,1
92,8945,17,807,9735,1
93,9410,17,342,9735,0
94,9410,17,340,9733,0
98,9410,17,340,9733,0
99,9410,17,340,9733,0
100,9410,17,339,9732,0
101,9410,17,339,9732,0
105,9410,17,339,9732,0
106,9410,17,339,9732,0
107,8945,16,804,9733,1
108,8945,16,804,9733,1
112,9410,16,338,9732,0
113,8945,16,803,9732,1
114,9410,16,338,9732,0
115,9410,16,338,9732,0
119,8945,16,803,9732,1
120,9410,16,338,9732,0
121,9410,16,338,9732,0
122,9410,16,338,9732,0
126,9410,16,338,9732,0
127,9410,16,338,9732,0
128,8945,16,802,9731,1
129,9410,16,337,9731,0
133,9410,16,337,9731,0
134,9410,16,337,9731,0
135,9410,16,336,9730,0
136,9410,16,336,9730,0
140,9410,16,336,9730,0
141,9410,16,336,9730,0
142,9410,16,336,9730,0
143,8945,16,801,9730,1
147,9410,16,336,9730,0
148,9410,16,336,9730,0
149,9410,16,336,9730,0
150,8945,16,801,9730,1
154,9410,16,336,9730,0
155,8945,16,801,9730,1
156,8945,16,801,9730,1
157,9410,16,336,9730,0
161,8945,16,801,9730,1
162,9410,16,336,9730,0
163,9410,16,336,9730,0
164,9410,16,336,9730,0
168,8945,16,801,9730,1
169,9410,16,336,9730,0
170,9410,16,336,9730,0
171,9410,16,336,9730,0
175,9410,16,336,9730,0
176,9410,16,336,9730,0
177,9410,16,336,9730,0
178,9410,16,336,9730,0
182,9410,16,336,9730,0
183,8945,16,801,9730,1
184,9410,16,336,9730,0
185,9410,16,335,9729,0
189,9410,16,335,9729,0
190,8945,16,800,9729,1
191,9410,16,335,9729,0
192,9410,16,335,9729,0
196,9410,16,335,9729,0
197,9410,16,335,9729,0
198,8945,16,800,9729,1
199,9410,16,335,9729,0
203,9410,16,335,9729,0
204,8945,16,800,9729,1
205,9410,16,335,9729,0
206,9410,16,335,9729,0
210,9410,16,335,9729,0
211,8945,16,800,9729,1
212,9410,16,335,9729,0
213,9410,16,335,9729,0
217,8945,16,800,9729,1
218,9410,16,335,9729,0
219,9410,16,335,9729,0
220,9410,16,335,9729,0
224,9410,16,335,9729,0
225,9410,16,335,9729,0
226,9410,16,335,9729,0
227,9410,16,335,9729,0
231,8945,16,800,9729,1
232,8945,16,800,9729,1
233,9410,16,335,9729,0
234,9410,16,335,9729,0
238,9410,16,335,9729,0
239,9410,16,335,9729,0
240,9410,16,335,9729,0
241,9410,16,335,9729,0
245,8945,16,800,9729,1
246,9410,16,335,9729,0
247,8945,16,800,9729,1
248,8945,16,800,9729,1
252,8945,16,800,9729,1
253,9410,16,335,9729,0
254,9410,16,335,9729,0
255,8945,16,800,9729,1
259,9410,16,335,9729,0
260,9410,16,335,9729,0
261,8945,16,800,9729,1
262,9410,16,335,9729,0
266,9410,16,335,9729,0
267,9410,16,335,9729,0
268,8945,16,800,9729,1
269,9410,16,335,9729,0
273,9410,16,335,9729,0
274,9410,16,335,9729,0
275,9410,16,335,9729,0
276,8945,16,800,9729,1
280,9410,16,335,9729,0
281,9410,16,335,9729,0
282,8945,16,800,9729,1
283,9410,16,335,9729,0
287,9410,16,335,9729,0
288,9410,16,335,9729,0
289,9410,16,335,9729,0
290,9410,16,335,9729,0
294,9410,16,335,9729,0
295,9410,16,335,9729,0
296,9410,16,335,9729,0
297,8945,16,800,9729,1
301,9410,16,335,9729,0
302,9410,16,335,9729,0
303,9410,16,335,9729,0
304,9410,16,335,9729,0
308,9410,16,335,9729,0
309,8945,16,800,9729,1
310,9410,16,335,9729,0
311,8945,16,800,9729,1
315,9410,16,335,9729,0
316,8945,16,800,9729,1
317,9410,16,335,9729,0
318,8945,16,800,9729,1
322,9410,16,335,9729,0
323,9410,16,335,9729,0
324,9410,16,335,9729,0
325,9410,16,335,9729,0
329,9410,16,335,9729,0
330,9410,16,335,9729,0
331,9410,16,335,9729,0
332,9410,16,335,9729,0
336,8945,16,800,9729,1
337,9410,16,335,9729,0
