Day,ActiveMode,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,ActiveNorm,Rain
0,7749,0,0,7749,0
1,7580,8,224,7796,0
2,7579,7,222,7794,0
3,7579,7,220,7792,0
7,6884,7,912,7789,1
8,7560,7,231,7784,0
9,6884,7,904,7781,1
10,7541,7,244,7778,0
14,7541,7,235,7769,0
15,7541,7,233,7767,0
16,7541,7,228,7762,0
17,7541,7,226,7760,0
21,7541,7,216,7750,0
22,7541,7,209,7743,0
23,6884,7,863,7740,1
24,7540,7,204,7737,0
28,6884,7,857,7734,1
29,7523,7,214,7730,0
30,7523,7,212,7728,0
31,7523,7,209,7725,0
35,7523,7,208,7724,0
36,7523,7,208,7724,0
37,7523,7,205,7721,0
38,7523,7,203,7719,0
42,6884,7,839,7716,1
43,6884,7,836,7713,1
44,6884,7,834,7711,1
45,6884,7,834,7711,1
49,7481,8,234,7707,0
50,7480,7,233,7706,0
51,6884,7,828,7705,1
52,7479,7,232,7704,0
56,6884,7,825,7702,1
57,7473,7,233,7699,0
58,7473,7,231,7697,0
59,7473,7,231,7697,0
63,6884,7,817,7694,1
64,6884,7,816,7693,1
65,6884,7,813,7690,1
66,7448,7,247,7688,0
70,7448,7,243,7684,0
71,6884,7,806,7683,1
72,7448,7,241,7682,0
73,7448,7,239,7680,0
77,7448,7,239,7680,0
78,7448,7,237,7678,0
79,7448,7,235,7676,0
80,7448,7,235,7676,0
84,7448,7,235,7676,0
85,7448,7,233,7674,0
86,7448,7,230,7671,0
87,7448,7,230,7671,0
91,6884,7,793,7670,1
92,6884,7,792,7669,1
93,7448,7,226,7667,0
94,7448,7,224,7665,0
98,7448,7,223,7664,0
99,7448,7,223,7664,0
100,7448,7,223,7664,0
101,7448,7,221,7662,0
105,7448,7,221,7662,0
106,7448,7,221,7662,0
107,6884,7,785,7662,1
108,6884,7,783,7660,1
112,7448,7,217,7658,0
113,6884,7,780,7657,1
114,7448,7,216,7657,0
115,7448,7,215,7656,0
119,6884,7,778,7655,1
120,7448,7,213,7654,0
121,7448,7,213,7654,0
122,7448,7,213,7654,0
126,7448,7,212,7653,0
127,7448,7,211,7652,0
128,6884,7,775,7652,1
129,7448,7,211,7652,0
133,7448,7,211,7652,0
134,7448,7,211,7652,0
135,7448,7,211,7652,0
136,7448,7,211,7652,0
140,7448,7,211,7652,0
141,7448,7,211,7652,0
142,7448,7,211,7652,0
143,6884,7,775,7652,1
147,7448,7,211,7652,0
148,7448,7,211,7652,0
149,7448,7,211,7652,0
150,6884,7,775,7652,1
154,7448,7,211,7652,0
155,6884,7,775,7652,1
156,6884,7,775,7652,1
157,7448,7,211,7652,0
161,6884,7,775,7652,1
162,7448,7,211,7652,0
163,7448,7,211,7652,0
164,7448,7,211,7652,0
168,6884,7,775,7652,1
169,7448,7,211,7652,0
170,7448,7,211,7652,0
171,7448,7,211,7652,0
175,7448,7,210,7651,0
176,7448,7,210,7651,0
177,7448,7,210,7651,0
178,7448,7,209,7650,0
182,7448,7,209,7650,0
183,6884,7,773,7650,1
184,7448,7,209,7650,0
185,7448,7,209,7650,0
189,7448,7,209,7650,0
190,6884,7,773,7650,1
191,7448,7,209,7650,0
192,7448,7,209,7650,0
196,7448,7,209,7650,0
197,7448,7,209,7650,0
198,6884,7,773,7650,1
199,7448,7,209,7650,0
203,7448,7,209,7650,0
204,6884,7,773,7650,1
205,7448,7,209,7650,0
206,7448,7,209,7650,0
210,7448,7,209,7650,0
211,6884,7,773,7650,1
212,7448,7,208,7649,0
213,7448,7,208,7649,0
217,6884,7,772,7649,1
218,7448,7,208,7649,0
219,7448,7,208,7649,0
220,7448,7,208,7649,0
224,7448,7,208,7649,0
225,7448,7,208,7649,0
226,7448,7,208,7649,0
227,7448,7,208,7649,0
231,6884,7,772,7649,1
232,6884,7,772,7649,1
233,7448,7,208,7649,0
234,7448,7,208,7649,0
238,7448,7,208,7649,0
239,7448,7,208,7649,0
240,7448,7,208,7649,0
241,7448,7,208,7649,0
245,6884,7,772,7649,1
246,7448,7,208,7649,0
247,6884,7,772,7649,1
248,6884,7,772,7649,1
252,6884,7,772,7649,1
253,7448,7,208,7649,0
254,7448,7,208,7649,0
255,6884,7,772,7649,1
259,7448,7,208,7649,0
260,7448,7,208,7649,0
261,6884,7,772,7649,1
262,7448,7,208,7649,0
266,7448,7,208,7649,0
267,7448,7,208,7649,0
268,6884,7,772,7649,1
269,7448,7,208,7649,0
273,7448,7,208,7649,0
274,7448,7,208,7649,0
275,7448,7,208,7649,0
276,6884,7,772,7649,1
280,7448,7,208,7649,0
281,7448,7,208,7649,0
282,6884,7,772,7649,1
283,7448,7,208,7649,0
287,7448,7,208,7649,0
288,7448,7,208,7649,0
289,7448,7,208,7649,0
290,7448,7,208,7649,0
294,7448,7,208,7649,0
295,7448,7,208,7649,0
296,7448,7,208,7649,0
297,6884,7,772,7649,1
301,7448,7,208,7649,0
302,7448,7,208,7649,0
303,7448,7,208,7649,0
304,7448,7,208,7649,0
308,7448,7,208,7649,0
309,6884,7,772,7649,1
310,7448,7,208,7649,0
311,6884,7,772,7649,1
315,7448,7,208,7649,0
316,6884,7,772,7649,1
317,7448,7,208,7649,0
318,6884,7,772,7649,1
322,7448,7,208,7649,0
323,7448,7,208,7649,0
324,7448,7,208,7649,0
325,7448,7,208,7649,0
329,7448,7,208,7649,0
330,7448,7,208,7649,0
331,7448,7,208,7649,0
332,7448,7,208,7649,0
336,6884,7,772,7649,1
337,7448,7,208,7649,0
338,7448,7,208,7649,0
339,6884,7,772,7649,1
343,6884,7,772,7649,1
344,7448,7,208,7649,0
345,7448,7,208,7649,0
346,7448,7,208,7649,0
350,7448,7,208,7649,0
351,6884,7,772,7649,1
352,7448,7,208,7649,0
353,7448,7,208,7649,0
357,7448,7,208,7649,0
358,7448,7,208,7649,0
359,7448,7,208,7649,0
360,6884,7,772,7649,1
364,7448,7,208,7649,0
365,6884,7,772,7649,1
366,7448,7,208,7649,0
367,7448,7,208,7649,0
371,7448,7,208,7649,0
372,7448,7,208,7649,0
373,7448,7,208,7649,0
374,7448,7,208,7649,0
378,7448,7,208,7649,0
379,7448,7,208,7649,0
380,7448,7,208,7649,0
381,6884,7,772,7649,1
385,7448,7,208,7649,0
386,6884,7,772,7649,1
387,7448,7,208,7649,0
388,6884,7,772,7649,1
392,7448,7,208,7649,0
393,7448,7,208,7649,0
394,7448,7,208,7649,0
395,6884,7,772,7649,1
399,7448,7,208,7649,0
400,7448,7,208,7649,0
401,7448,7,208,7649,0
402,7448,7,208,7649,0
406,7448,7,208,7649,0
407,6884,7,772,7649,1
408,7448,7,208,7649,0
409,7448,7,208,7649,0
413,7448,7,208,7649,0
414,6884,7,772,7649,1
415,7448,7,208,7649,0
416,7448,7,208,7649,0
420,7448,7,208,7649,0
421,7448,7,208,7649,0
422,7448,7,208,7649,0
423,7448,7,208,7649,0
427,6884,7,772,7649,1
428,7448,7,208,7649,0
429,7448,7,208,7649,0
430,7448,7,208,7649,0
434,7448,7,208,7649,0
435,7448,7,208,7649,0
436,7448,7,208,7649,0
437,7448,7,208,7649,0
441,7448,7,208,7649,0
442,6884,7,772,7649,1
443,7448,7,208,7649,0
444,7448,7,208,7649,0
448,6884,7,772,7649,1
449,7448,7,208,7649,0
450,7448,7,208,7649,0
451,7448,7,208,7649,0
455,7448,7,208,7649,0
456,7448,7,208,7649,0
457,7448,7,208,7649,0
458,6884,7,772,7649,1
462,7448,7,208,7649,0
463,7448,7,208,7649,0
464,7448,7,208,7649,0
465,7448,7,208,7649,0
469,7448,7,208,7649,0
470,7448,7,208,7649,0
471,7448,7,208,7649,0
472,7448,7,208,7649,0
476,7448,7,208,7649,0
477,6884,7,772,7649,1
478,7448,7,208,7649,0
479,6884,7,772,7649,1
483,6884,7,772,7649,1
484,7448,7,208,7649,0
485,7448,7,208,7649,0
486,6884,7,772,7649,1
490,6884,7,772,7649,1
491,6884,7,772,7649,1
492,7448,7,208,7649,0
493,7448,7,208,7649,0
497,7448,7,208,7649,0
498,7448,7,208,7649,0
499,6884,7,772,7649,1
500,6884,7,772,7649,1
504,7448,7,208,7649,0
505,7448,7,208,7649,0
506,7448,7,208,7649,0
507,6884,7,772,7649,1
511,7448,7,208,7649,0
512,7448,7,208,7649,0
513,6884,7,772,7649,1
514,7448,7,208,7649,0
518,7448,7,208,7649,0
519,7448,7,208,7649,0
520,6884,7,772,7649,1
521,7448,7,208,7649,0
525,6884,7,772,7649,1
526,6884,7,772,7649,1
527,7448,7,208,7649,0
528,7448,7,208,7649,0
532,7448,7,208,7649,0
533,7448,7,208,7649,0
534,7448,7,208,7649,0
535,7448,7,208,7649,0
539,7448,7,208,7649,0
540,7448,7,208,7649,0
541,7448,7,208,7649,0
542,7448,7,208,7649,0
546,7448,7,208,7649,0
547,7448,7,208,7649,0
548,7448,7,208,7649,0
549,7448,7,208,7649,0
553,6884,7,772,7649,1
554,7448,7,208,7649,0
555,7448,7,208,7649,0
556,7448,7,208,7649,0
560,6884,7,772,7649,1
561,7448,7,208,7649,0
562,7448,7,208,7649,0
563,7448,7,208,7649,0
567,7448,7,208,7649,0
568,7448,7,208,7649,0
569,7448,7,208,7649,0
570,6884,7,772,7649,1
574,7448,7,208,7649,0
575,7448,7,208,7649,0
576,7448,7,208,7649,0
577,7448,7,208,7649,0
581,6884,7,772,7649,1
582,7448,7,208,7649,0
583,7448,7,208,7649,0
584,6884,7,772,7649,1
588,7448,7,208,7649,0
589,7448,7,208,7649,0
590,7448,7,208,7649,0
591,7448,7,208,7649,0
595,6884,7,772,7649,1
596,7448,7,208,7649,0
597,7448,7,208,7649,0
598,7448,7,208,7649,0
602,7448,7,208,7649,0
603,7448,7,208,7649,0
604,7448,7,208,7649,0
605,6884,7,772,7649,1
609,6884,7,772,7649,1
610,7448,7,208,7649,0
611,6884,7,772,7649,1
612,6884,7,772,7649,1
616,6884,7,772,7649,1
617,7448,7,208,7649,0
618,7448,7,208,7649,0
619,6884,7,772,7649,1
623,6884,7,772,7649,1
624,7448,7,208,7649,0
625,6884,7,772,7649,1
626,7444,7,212,7649,0
630,7444,7,212,7649,0
631,6884,7,772,7649,1
632,7444,7,212,7649,0
633,7444,7,212,7649,0
637,6884,7,772,7649,1
638,6884,7,772,7649,1
639,7440,7,216,7649,0
640,7440,7,216,7649,0
644,6884,7,772,7649,1
645,6884,7,772,7649,1
646,7432,7,224,7649,0
647,6884,7,772,7649,1
651,7432,7,224,7649,0
652,6884,7,772,7649,1
653,7429,7,227,7649,0
654,7429,7,226,7648,0
658,6884,7,771,7648,1
659,6884,7,771,7648,1
660,7426,7,229,7648,0
661,7426,7,229,7648,0
665,7426,7,228,7647,0
666,7426,7,228,7647,0
667,6884,7,770,7647,1
668,7426,7,228,7647,0
672,7426,7,227,7646,0
673,7426,7,227,7646,0
674,6884,7,769,7646,1
675,7426,7,227,7646,0
679,7426,7,227,7646,0
680,6884,7,768,7645,1
681,7426,7,226,7645,0
682,6884,7,768,7645,1
686,7426,7,226,7645,0
687,6884,7,768,7645,1
688,7426,7,226,7645,0
689,6884,7,768,7645,1
693,7426,7,226,7645,0
694,7426,7,226,7645,0
695,7426,7,226,7645,0
696,7426,7,226,7645,0
700,6884,7,768,7645,1
701,7426,7,226,7645,0
702,6884,7,768,7645,1
703,6884,7,768,7645,1
707,7426,7,226,7645,0
708,7426,7,225,7644,0
709,7426,7,225,7644,0
710,7426,7,225,7644,0
714,7426,7,225,7644,0
715,6884,7,767,7644,1
716,7426,7,225,7644,0
717,7426,7,225,7644,0
721,7426,7,225,7644,0
722,7426,7,225,7644,0
723,6884,7,767,7644,1
724,6884,7,767,7644,1
728,6884,7,767,7644,1
729,7426,7,225,7644,0
730,6884,7,767,7644,1
731,7426,7,225,7644,0
735,7426,7,225,7644,0
736,7426,7,225,7644,0
737,7426,7,225,7644,0
738,6884,7,767,7644,1
742,6884,7,767,7644,1
743,7426,7,225,7644,0
744,7426,7,225,7644,0
745,7426,7,225,7644,0
749,6884,7,767,7644,1
750,7426,7,225,7644,0
751,7426,7,225,7644,0
752,7426,7,225,7644,0
756,7426,7,225,7644,0
757,7426,7,225,7644,0
758,7426,7,225,7644,0
759,7426,7,225,7644,0
763,7426,7,225,7644,0
764,7426,7,224,7643,0
765,7426,7,224,7643,0
766,6884,7,766,7643,1
770,7426,7,224,7643,0
771,7426,7,224,7643,0
772,7426,7,224,7643,0
773,7426,7,224,7643,0
777,7426,7,224,7643,0
778,7426,7,224,7643,0
779,7426,7,224,7643,0
780,7426,7,224,7643,0
784,7426,7,224,7643,0
785,7426,7,224,7643,0
786,7426,7,224,7643,0
787,6884,7,766,7643,1
791,7426,7,224,7643,0
792,6884,7,766,7643,1
793,6884,7,766,7643,1
794,7426,7,224,7643,0
798,7426,7,224,7643,0
799,7426,7,224,7643,0
800,6884,7,766,7643,1
801,6884,7,766,7643,1
805,7426,7,224,7643,0
806,7426,7,224,7643,0
807,6884,7,766,7643,1
808,7426,7,224,7643,0
812,7426,7,224,7643,0
813,7426,7,224,7643,0
814,6884,7,766,7643,1
815,7426,7,224,7643,0
819,7426,7,224,7643,0
820,6884,7,766,7643,1
821,7426,7,224,7643,0
822,6884,7,766,7643,1
826,7426,7,224,7643,0
827,7426,7,224,7643,0
828,6884,7,766,7643,1
829,7426,7,224,7643,0
833,7426,7,224,7643,0
834,7426,7,224,7643,0
835,7426,7,224,7643,0
836,7426,7,224,7643,0
840,7426,7,224,7643,0
841,6884,7,766,7643,1
842,7426,7,224,7643,0
843,7426,7,224,7643,0
847,7426,7,224,7643,0
848,7426,7,224,7643,0
849,7426,7,224,7643,0
850,7426,7,224,7643,0
854,7426,7,224,7643,0
855,7426,7,224,7643,0
856,6884,7,766,7643,1
857,7426,7,224,7643,0
861,6884,7,766,7643,1
862,7426,7,224,7643,0
863,7426,7,224,7643,0
864,7426,7,224,7643,0
868,7426,7,224,7643,0
869,7426,7,224,7643,0
870,6884,7,766,7643,1
871,7426,7,224,7643,0
875,7426,7,224,7643,0
876,6884,7,766,7643,1
877,6884,7,766,7643,1
878,7426,7,224,7643,0
882,7426,7,224,7643,0
883,7426,7,224,7643,0
884,6884,7,766,7643,1
885,7426,7,224,7643,0
889,7426,7,224,7643,0
890,6884,7,766,7643,1
891,7426,7,224,7643,0
892,7426,7,224,7643,0
896,7426,7,224,7643,0
897,7426,7,224,7643,0
898,7426,7,224,7643,0
899,7426,7,224,7643,0
903,7426,7,224,7643,0
904,7426,7,224,7643,0
905,7426,7,224,7643,0
906,6884,7,766,7643,1
910,6884,7,766,7643,1
911,7426,7,224,7643,0
912,6884,7,766,7643,1
913,7426,7,224,7643,0
917,6884,7,766,7643,1
918,7426,7,224,7643,0
919,7426,7,224,7643,0
920,7426,7,224,7643,0
924,7426,7,224,7643,0
925,6884,7,766,7643,1
926,6884,7,766,7643,1
927,6884,7,766,7643,1
931,6884,7,766,7643,1
932,7426,7,224,7643,0
933,7426,7,224,7643,0
934,7426,7,224,7643,0
938,6884,7,766,7643,1
939,7426,7,224,7643,0
940,6884,7,766,7643,1
941,7426,7,224,7643,0
945,7426,7,224,7643,0
946,7426,7,224,7643,0
947,6884,7,766,7643,1
948,7426,7,224,7643,0
952,6884,7,766,7643,1
953,7426,7,224,7643,0
954,6884,7,766,7643,1
955,7426,7,224,7643,0
959,6884,7,766,7643,1
960,7426,7,224,7643,0
961,7426,7,224,7643,0
962,7426,7,224,7643,0
966,7426,7,224,7643,0
967,7426,7,224,7643,0
968,7426,7,224,7643,0
969,7426,7,224,7643,0
973,6884,7,766,7643,1
974,7426,7,224,7643,0
975,7426,7,224,7643,0
976,6884,7,766,7643,1
980,7426,7,224,7643,0
981,6884,7,766,7643,1
982,7426,7,224,7643,0
983,7426,7,224,7643,0
987,6884,7,766,7643,1
988,6884,7,766,7643,1
989,7426,7,224,7643,0
990,7426,7,224,7643,0
994,7426,7,224,7643,0
995,7426,7,224,7643,0
996,7426,7,224,7643,0
997,7426,7,224,7643,0
1001,6884,7,766,7643,1
1002,6884,7,766,7643,1
1003,7426,7,224,7643,0
1004,6884,7,766,7643,1
1008,7426,7,224,7643,0
1009,6884,7,766,7643,1
1010,7426,7,224,7643,0
1011,7426,7,224,7643,0
1015,7426,7,224,7643,0
1016,7426,7,224,7643,0
1017,7426,7,224,7643,0
1018,6884,7,766,7643,1
1022,6884,7,766,7643,1
1023,7426,7,224,7643,0
1024,6884,7,766,7643,1
1025,7426,7,224,7643,0
1029,7426,7,224,7643,0
1030,6884,7,766,7643,1
1031,7426,7,224,7643,0
1032,6884,7,766,7643,1
1036,6884,7,766,7643,1
1037,7426,7,224,7643,0
1038,7426,7,224,7643,0
1039,7426,7,224,7643,0
1043,6884,7,766,7643,1
1044,7426,7,224,7643,0
1045,7426,7,224,7643,0
1046,6884,7,766,7643,1
1050,7426,7,224,7643,0
1051,7426,7,224,7643,0
1052,7426,7,224,7643,0
1053,6884,7,766,7643,1
1057,7426,7,224,7643,0
1058,7426,7,224,7643,0
1059,7426,7,224,7643,0
1060,6884,7,766,7643,1
1064,7426,7,224,7643,0
1065,7426,7,224,7643,0
1066,7426,7,224,7643,0
1067,7426,7,224,7643,0
1071,7426,7,224,7643,0
1072,7426,7,224,7643,0
1073,7426,7,224,7643,0
1074,7426,7,224,7643,0
1078,6884,7,766,7643,1
1079,6884,7,766,7643,1
1080,7426,7,224,7643,0
1081,6884,7,766,7643,1
1085,6884,7,766,7643,1
1086,6884,7,766,7643,1
1087,7426,7,224,7643,0
1088,7426,7,224,7643,0
1092,7426,7,224,7643,0
1093,6884,7,766,7643,1
1094,7426,7,224,7643,0
1095,7426,7,224,7643,0
