Day,ActiveMode,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,ActiveNorm,Rain
0,9531,0,0,9531,0
1,9425,19,266,9672,0
2,9423,16,265,9672,0
3,8813,16,874,9671,1
7,9403,16,284,9671,0
8,9402,16,284,9670,0
9,9402,16,285,9671,0
10,9402,16,283,9669,0
14,9402,16,281,9667,0
15,9402,16,280,9666,0
16,9402,16,276,9662,0
17,8813,16,865,9662,1
21,9392,16,285,9661,0
22,9392,16,284,9660,0
23,8813,16,861,9658,1
24,9379,16,293,9656,0
28,9379,16,292,9655,0
29,8813,16,855,9652,1
30,8813,16,853,9650,1
31,9359,16,305,9648,0
35,9359,16,295,9638,0
36,8813,16,841,9638,1
37,9353,16,299,9636,0
38,9353,15,298,9636,0
42,9353,15,297,9635,0
43,9353,15,295,9633,0
44,9353,15,292,9630,0
45,8813,15,832,9630,1
49,9353,15,289,9627,0
50,8813,15,827,9625,1
51,8813,15,827,9625,1
52,9336,15,303,9624,0
56,8813,15,824,9622,1
57,9328,15,305,9618,0
58,9328,15,303,9616,0
59,9328,15,302,9615,0
63,9328,16,301,9613,0
64,9328,16,300,9612,0
65,9328,16,299,9611,0
66,9328,16,298,9610,0
70,9328,16,296,9608,0
71,9328,16,294,9606,0
72,8813,16,807,9604,1
73,9328,16,290,9602,0
77,9328,16,290,9602,0
78,9328,16,289,9601,0
79,9328,16,288,9600,0
80,9328,16,287,9599,0
84,9328,16,287,9599,0
85,9328,16,286,9598,0
86,8813,16,799,9596,1
87,9328,16,281,9593,0
91,8813,16,796,9593,1
92,9328,16,280,9592,0
93,9328,16,280,9592,0
94,8813,16,794,9591,1
98,9328,16,279,9591,0
99,8813,16,793,9590,1
100,8813,16,793,9590,1
101,9328,16,278,9590,0
105,9328,16,276,9588,0
106,9328,16,275,9587,0
107,9328,16,275,9587,0
108,9328,16,275,9587,0
112,9328,16,275,9587,0
113,8813,16,790,9587,1
114,8813,16,789,9586,1
115,9328,16,274,9586,0
119,9328,16,273,9585,0
120,9328,16,273,9585,0
121,9328,16,272,9584,0
122,8813,16,787,9584,1
126,9328,16,272,9584,0
127,9328,16,272,9584,0
128,9328,16,272,9584,0
129,8813,16,787,9584,1
133,9328,16,272,9584,0
134,8813,16,787,9584,1
135,9328,16,272,9584,0
136,9328,16,271,9583,0
140,9328,16,271,9583,0
141,9328,16,271,9583,0
142,9328,16,270,9582,0
143,9328,16,270,9582,0
147,9328,16,270,9582,0
148,8813,16,785,9582,1
149,9328,16,270,9582,0
150,9328,16,270,9582,0
154,8813,16,785,9582,1
155,9328,16,270,9582,0
156,9328,16,270,9582,0
157,9328,16,270,9582,0
161,8813,16,785,9582,1
162,9328,16,270,9582,0
163,9328,16,270,9582,0
164,8813,16,785,9582,1
168,9328,16,270,9582,0
169,9328,16,270,9582,0
170,9328,16,269,9581,0
171,9328,16,269,9581,0
175,9328,16,269,9581,0
176,9328,16,269,9581,0
177,8813,16,784,9581,1
178,9328,16,269,9581,0
182,8813,16,784,9581,1
183,9328,16,269,9581,0
184,8813,16,784,9581,1
185,9328,16,269,9581,0
189,8813,16,784,9581,1
190,9328,16,269,9581,0
191,9328,16,269,9581,0
192,8813,16,784,9581,1
196,9328,16,269,9581,0
197,9328,16,269,9581,0
198,9328,16,269,9581,0
199,9328,16,269,9581,0
203,8813,16,784,9581,1
204,9328,16,269,9581,0
205,8813,16,784,9581,1
206,8813,16,784,9581,1
210,9326,16,271,9581,0
211,8813,16,784,9581,1
212,8813,16,784,9581,1
213,9319,16,278,9581,0
217,9319,16,278,9581,0
218,9319,16,278,9581,0
219,9319,16,278,9581,0
220,9319,16,278,9581,0
