Day,ActiveMode,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,ActiveNorm,Rain
0,7803,0,0,7803,0
1,7665,19,196,7842,0
2,7658,13,196,7841,0
3,6987,13,865,7839,1
7,7645,13,204,7836,0
8,7645,13,204,7836,0
9,7645,13,203,7835,0
10,7645,13,200,7832,0
14,7645,13,195,7827,0
15,7645,14,190,7821,0
16,7645,14,190,7821,0
17,6987,14,846,7819,1
21,7631,14,197,7814,0
22,7631,14,196,7813,0
23,6987,14,834,7807,1
24,7624,14,194,7804,0
28,7624,14,194,7804,0
29,6987,14,828,7801,1
30,6987,14,826,7799,1
31,7597,14,213,7796,0
35,7597,14,212,7795,0
36,6987,14,819,7792,1
37,7591,13,213,7791,0
38,7591,13,212,7790,0
42,7591,13,208,7786,0
43,7591,13,206,7784,0
44,7591,13,205,7783,0
45,6987,13,807,7781,1
49,7591,13,203,7781,0
50,6987,13,805,7779,1
51,6987,13,802,7776,1
52,7568,13,218,7773,0
56,6987,13,795,7769,1
57,7562,13,217,7766,0
58,7562,13,215,7764,0
59,7562,13,214,7763,0
63,7562,13,212,7761,0
64,7562,13,210,7759,0
65,7562,13,209,7758,0
66,7562,13,206,7755,0
70,7562,13,205,7754,0
71,7562,13,205,7754,0
72,6987,13,778,7752,1
73,7562,13,201,7750,0
77,7562,13,200,7749,0
78,7562,13,198,7747,0
79,7562,13,198,7747,0
80,7562,13,198,7747,0
84,7562,13,197,7746,0
85,7562,13,195,7744,0
86,6987,13,770,7744,1
87,7562,13,195,7744,0
91,6987,13,769,7743,1
92,7562,13,194,7743,0
93,7562,13,194,7743,0
94,6987,13,769,7743,1
98,7562,13,193,7742,0
99,6987,13,766,7740,1
100,6987,13,765,7739,1
101,7562,13,190,7739,0
105,7562,13,188,7737,0
106,7562,13,188,7737,0
107,7562,13,188,7737,0
108,7562,13,187,7736,0
112,7562,13,186,7735,0
113,6987,13,761,7735,1
114,6987,13,761,7735,1
115,7562,13,184,7733,0
119,7562,13,184,7733,0
120,7562,13,184,7733,0
121,7562,13,183,7732,0
122,6987,13,758,7732,1
126,7562,13,182,7731,0
127,7562,13,182,7731,0
128,7562,13,182,7731,0
129,6987,13,757,7731,1
133,7562,13,182,7731,0
134,6987,13,757,7731,1
135,7562,13,182,7731,0
136,7562,13,182,7731,0
140,7562,13,182,7731,0
141,7562,13,182,7731,0
142,7562,13,182,7731,0
143,7562,13,182,7731,0
147,7562,13,182,7731,0
148,6987,13,757,7731,1
149,7562,13,182,7731,0
150,7562,13,182,7731,0
154,6987,13,756,7730,1
155,7562,13,181,7730,0
156,7562,13,181,7730,0
157,7562,13,181,7730,0
161,6987,13,756,7730,1
162,7562,13,181,7730,0
163,7562,13,181,7730,0
164,6987,13,756,7730,1
168,7562,13,181,7730,0
169,7562,13,181,7730,0
170,7562,13,181,7730,0
171,7562,13,181,7730,0
175,7562,13,181,7730,0
