Day,ActiveMode,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,ActiveNorm,Rain
0,9187,0,0,9187,1
1,9139,260,410,9289,0
2,4471,55,4942,9358,1
3,6544,314,1538,7768,0
7,6544,169,1538,7913,0
8,4474,55,3494,7913,1
9,6517,287,1539,7769,0
10,6517,143,1539,7913,0
14,6517,143,1539,7913,0
15,6517,143,1539,7913,0
16,6517,143,1539,7913,0
17,6517,143,1539,7913,0
21,4474,55,3494,7913,1
22,6517,287,1539,7769,0
23,4474,55,3494,7913,1
24,6517,287,1539,7769,0
28,4474,55,3494,7913,1
29,6517,287,1539,7769,0
30,4474,55,3494,7913,1
31,6517,287,1539,7769,0
35,6517,143,1539,7913,0
36,6517,143,1539,7913,0
37,4474,55,3494,7913,1
38,4474,55,3350,7769,1
42,4474,55,3350,7769,1
43,4474,55,3350,7769,1
44,6389,159,1539,7769,0
45,6389,143,1539,7785,0
49,4474,55,3366,7785,1
50,6389,159,1539,7769,0
51,4474,55,3366,7785,1
52,4474,55,3350,7769,1
56,6389,159,1539,7769,0
57,4474,55,3366,7785,1
58,6389,159,1539,7769,0
59,6389,143,1539,7785,0
63,6389,143,1539,7785,0
64,4474,55,3366,7785,1
65,6389,159,1539,7769,0
66,6389,143,1539,7785,0
70,6389,143,1539,7785,0
71,6389,143,1539,7785,0
72,6389,143,1539,7785,0
73,4474,55,3366,7785,1
77,4474,55,3350,7769,1
78,6389,159,1539,7769,0
79,6389,143,1539,7785,0
80,6389,143,1539,7785,0
84,4474,55,3366,7785,1
85,6389,159,1539,7769,0
86,6389,143,1539,7785,0
87,4474,55,3366,7785,1
91,6389,159,1539,7769,0
92,6389,143,1539,7785,0
93,6389,143,1539,7785,0
94,4474,55,3366,7785,1
98,6389,159,1539,7769,0
99,6389,143,1539,7785,0
100,6389,143,1539,7785,0
101,6389,143,1539,7785,0
105,6389,143,1539,7785,0
106,4474,55,3366,7785,1
107,6389,159,1539,7769,0
108,6389,143,1539,7785,0
112,6389,143,1539,7785,0
113,4474,55,3366,7785,1
114,6389,159,1539,7769,0
115,6389,143,1539,7785,0
119,4474,55,3366,7785,1
120,6389,159,1539,7769,0
121,6389,143,1539,7785,0
