Day,ActiveMode,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,ActiveNorm,Rain
0,9109,0,0,9109,1
1,9231,393,394,9232,0
2,5011,75,4450,9386,1
3,6993,400,1377,7970,0
7,6992,200,1377,8169,0
8,5016,75,3228,8169,1
9,5016,75,3033,7974,1
10,6823,228,1379,7974,0
14,5016,75,3077,8018,1
15,6823,228,1379,7974,0
16,6823,184,1379,8018,0
17,6823,184,1379,8018,0
21,6823,184,1379,8018,0
22,5016,75,3077,8018,1
23,5016,75,3033,7974,1
24,5016,75,3033,7974,1
28,6823,228,1379,7974,0
29,5016,75,3077,8018,1
30,6823,228,1379,7974,0
31,5016,75,3077,8018,1
35,6823,228,1379,7974,0
36,6823,184,1379,8018,0
37,5016,75,3077,8018,1
38,5016,75,3033,7974,1
42,6823,228,1379,7974,0
43,6823,184,1379,8018,0
44,6823,184,1379,8018,0
45,6823,184,1379,8018,0
49,6823,184,1379,8018,0
50,6823,184,1379,8018,0
51,6823,184,1379,8018,0
52,6823,184,1379,8018,0
56,6823,184,1379,8018,0
57,6823,184,1379,8018,0
58,6823,184,1379,8018,0
59,5016,75,3077,8018,1
63,6823,228,1379,7974,0
64,6823,184,1379,8018,0
65,6823,184,1379,8018,0
66,6823,184,1379,8018,0
70,6823,184,1379,8018,0
71,6823,184,1379,8018,0
72,6823,184,1379,8018,0
73,6823,184,1379,8018,0
77,5016,75,3077,8018,1
78,6823,228,1379,7974,0
79,6823,184,1379,8018,0
80,6823,184,1379,8018,0
84,5016,75,3077,8018,1
85,6823,228,1379,7974,0
86,6823,184,1379,8018,0
87,5016,75,3077,8018,1
91,6823,228,1379,7974,0
92,6823,184,1379,8018,0
93,6823,184,1379,8018,0
94,6823,184,1379,8018,0
98,6823,184,1379,8018,0
99,6823,184,1379,8018,0
100,5016,75,3077,8018,1
101,5016,75,3033,7974,1
105,6823,228,1379,7974,0
106,5016,75,3077,8018,1
107,5016,75,3033,7974,1
108,6823,228,1379,7974,0
112,6823,184,1379,8018,0
113,6823,184,1379,8018,0
114,6823,184,1379,8018,0
115,5016,75,3077,8018,1
119,5016,75,3033,7974,1
120,6823,228,1379,7974,0
121,5016,75,3077,8018,1
122,6823,228,1379,7974,0
126,5016,75,3077,8018,1
127,6823,228,1379,7974,0
128,6823,184,1379,8018,0
129,5016,75,3077,8018,1
133,6823,228,1379,7974,0
134,6823,184,1379,8018,0
135,6823,184,1379,8018,0
136,5016,75,3077,8018,1
140,5016,75,3033,7974,1
141,6823,228,1379,7974,0
142,6823,184,1379,8018,0
143,6823,184,1379,8018,0
147,6823,184,1379,8018,0
148,6823,184,1379,8018,0
149,6823,184,1379,8018,0
150,6823,184,1379,8018,0
154,6823,184,1379,8018,0
155,6823,184,1379,8018,0
156,5016,75,3077,8018,1
157,6823,228,1379,7974,0
161,6823,184,1379,8018,0
