Day,ActiveMode,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,ActiveNorm,Rain
0,9263,0,0,9263,0
1,3988,41,5393,9340,1
2,3988,29,3673,7632,1
3,5678,162,2116,7632,0
7,5678,126,2116,7668,0
8,5678,126,2116,7668,0
9,5678,126,2116,7668,0
10,5678,126,2116,7668,0
14,5678,126,2116,7668,0
15,5678,126,2116,7668,0
16,4012,43,3699,7668,1
17,4012,43,3677,7646,1
21,5653,124,2117,7646,0
22,5653,118,2117,7652,0
23,5653,118,2117,7652,0
24,5653,118,2117,7652,0
28,4012,43,3683,7652,1
29,5653,124,2117,7646,0
30,5653,118,2117,7652,0
31,5653,118,2117,7652,0
35,4012,43,3683,7652,1
36,5653,124,2117,7646,0
37,5653,118,2117,7652,0
38,5653,118,2117,7652,0
42,5653,118,2117,7652,0
43,5653,118,2117,7652,0
44,5653,118,2117,7652,0
45,4012,43,3683,7652,1
49,5653,124,2117,7646,0
50,5653,118,2117,7652,0
51,4012,43,3683,7652,1
52,4012,43,3677,7646,1
56,4012,43,3677,7646,1
57,5653,124,2117,7646,0
58,5653,118,2117,7652,0
59,5653,118,2117,7652,0
63,5653,118,2117,7652,0
64,5653,118,2117,7652,0
65,5653,118,2117,7652,0
66,5653,118,2117,7652,0
70,5653,118,2117,7652,0
71,5653,118,2117,7652,0
72,5653,118,2117,7652,0
73,5653,118,2117,7652,0
77,4012,43,3683,7652,1
78,4012,43,3677,7646,1
79,5653,124,2117,7646,0
80,5653,118,2117,7652,0
84,5653,118,2117,7652,0
85,5653,118,2117,7652,0
86,4012,43,3683,7652,1
87,5653,124,2117,7646,0
91,5653,118,2117,7652,0
92,5653,118,2117,7652,0
93,4012,43,3683,7652,1
94,5653,124,2117,7646,0
98,5653,118,2117,7652,0
99,5653,118,2117,7652,0
100,4012,43,3683,7652,1
101,4012,43,3677,7646,1
105,5653,124,2117,7646,0
106,5653,118,2117,7652,0
107,5653,118,2117,7652,0
108,5653,118,2117,7652,0
112,5653,118,2117,7652,0
113,5653,118,2117,7652,0
114,5653,118,2117,7652,0
115,5653,118,2117,7652,0
119,5653,118,2117,7652,0
120,5653,118,2117,7652,0
121,5653,118,2117,7652,0
122,5653,118,2117,7652,0
126,5653,118,2117,7652,0
127,5653,118,2117,7652,0
128,5653,118,2117,7652,0
129,5653,118,2117,7652,0
133,5653,118,2117,7652,0
134,4012,43,3683,7652,1
135,5653,124,2117,7646,0
136,5653,118,2117,7652,0
140,5653,118,2117,7652,0
141,5653,118,2117,7652,0
142,5653,118,2117,7652,0
143,5653,118,2117,7652,0
147,4012,43,3683,7652,1
148,5653,124,2117,7646,0
149,4012,43,3683,7652,1
150,4012,43,3677,7646,1
154,5653,124,2117,7646,0
155,4012,43,3683,7652,1
156,5653,124,2117,7646,0
157,4012,43,3683,7652,1
161,4012,43,3677,7646,1
162,5653,124,2117,7646,0
163,4012,43,3683,7652,1
164,4012,43,3677,7646,1
168,5653,124,2117,7646,0
169,5653,118,2117,7652,0
170,5653,118,2117,7652,0
171,5653,118,2117,7652,0
175,5653,118,2117,7652,0
176,5653,118,2117,7652,0
177,5653,118,2117,7652,0
178,5653,118,2117,7652,0
182,5653,118,2117,7652,0
183,4012,43,3683,7652,1
184,5653,124,2117,7646,0
185,5653,118,2117,7652,0
189,5653,118,2117,7652,0
190,4012,43,3683,7652,1
191,5653,124,2117,7646,0
192,5653,118,2117,7652,0
196,5653,118,2117,7652,0
197,5653,118,2117,7652,0
198,5653,118,2117,7652,0
199,5653,118,2117,7652,0
203,4012,43,3683,7652,1
204,5653,124,2117,7646,0
205,4012,43,3683,7652,1
206,5653,124,2117,7646,0
210,4012,43,3683,7652,1
211,4012,43,3677,7646,1
212,5653,124,2117,7646,0
213,4012,43,3683,7652,1
217,5653,124,2117,7646,0
218,5653,118,2117,7652,0
219,5653,118,2117,7652,0
220,5653,118,2117,7652,0
224,4012,43,3683,7652,1
225,5653,124,2117,7646,0
226,4012,43,3683,7652,1
227,5653,124,2117,7646,0
231,5653,118,2117,7652,0
232,5653,118,2117,7652,0
233,5653,118,2117,7652,0
234,5653,118,2117,7652,0
238,4012,43,3683,7652,1
239,4012,43,3677,7646,1
240,4012,43,3677,7646,1
241,4012,43,3677,7646,1
245,5653,124,2117,7646,0
246,5653,118,2117,7652,0
247,5653,118,2117,7652,0
248,4012,43,3683,7652,1
252,4012,43,3677,7646,1
253,5653,124,2117,7646,0
254,5653,118,2117,7652,0
255,5653,118,2117,7652,0
259,4012,43,3683,7652,1
260,5653,124,2117,7646,0
261,5653,118,2117,7652,0
262,5653,118,2117,7652,0
266,5653,118,2117,7652,0
267,5653,118,2117,7652,0
268,4012,43,3683,7652,1
269,5653,124,2117,7646,0
273,5653,118,2117,7652,0
274,5653,118,2117,7652,0
275,4012,43,3683,7652,1
276,5653,124,2117,7646,0
280,5653,118,2117,7652,0
281,4012,43,3683,7652,1
282,4012,43,3677,7646,1
283,4012,43,3677,7646,1
287,5653,124,2117,7646,0
288,5653,118,2117,7652,0
289,4012,43,3683,7652,1
290,5653,124,2117,7646,0
294,4012,43,3683,7652,1
295,5653,124,2117,7646,0
296,5653,118,2117,7652,0
297,5653,118,2117,7652,0
301,5653,118,2117,7652,0
302,4012,43,3683,7652,1
303,4012,43,3677,7646,1
304,5653,124,2117,7646,0
308,5653,118,2117,7652,0
309,5653,118,2117,7652,0
310,5653,118,2117,7652,0
311,5653,118,2117,7652,0
315,5653,118,2117,7652,0
316,5653,118,2117,7652,0
317,5653,118,2117,7652,0
318,4012,43,3683,7652,1
322,5653,124,2117,7646,0
323,4012,43,3683,7652,1
324,4012,43,3677,7646,1
325,4012,43,3677,7646,1
329,5653,124,2117,7646,0
330,5653,118,2117,7652,0
331,5653,118,2117,7652,0
332,5653,118,2117,7652,0
336,5653,118,2117,7652,0
337,4012,43,3683,7652,1
338,5653,124,2117,7646,0
339,5653,118,2117,7652,0
343,5653,118,2117,7652,0
344,5653,118,2117,7652,0
345,5653,118,2117,7652,0
346,5653,118,2117,7652,0
350,5653,118,2117,7652,0
351,5653,118,2117,7652,0
352,5653,118,2117,7652,0
353,5653,118,2117,7652,0
357,5653,118,2117,7652,0
358,5653,118,2117,7652,0
359,5653,118,2117,7652,0
360,5653,118,2117,7652,0
364,5653,118,2117,7652,0
365,4012,43,3683,7652,1
