Day,ActiveMode,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,ActiveNorm,Rain
0,9286,0,0,9286,0
1,3950,29,5470,9391,1
2,5755,238,2135,7652,0
3,5753,125,2135,7763,0
7,5753,125,2135,7763,0
8,5753,125,2135,7763,0
9,3986,35,3812,7763,1
10,3986,35,3724,7675,1
14,5642,102,2135,7675,0
15,5642,95,2135,7682,0
16,3986,35,3731,7682,1
17,5642,102,2135,7675,0
21,3986,35,3731,7682,1
22,5642,102,2135,7675,0
23,5642,95,2135,7682,0
24,3986,35,3731,7682,1
28,3986,35,3724,7675,1
29,5642,102,2135,7675,0
30,5642,95,2135,7682,0
31,5642,95,2135,7682,0
35,3986,35,3731,7682,1
36,3986,35,3724,7675,1
37,5642,102,2135,7675,0
38,3986,35,3731,7682,1
42,5642,102,2135,7675,0
43,5642,95,2135,7682,0
44,5642,95,2135,7682,0
45,5642,95,2135,7682,0
49,5642,95,2135,7682,0
50,3986,35,3731,7682,1
51,5642,102,2135,7675,0
52,3986,35,3731,7682,1
56,5642,102,2135,7675,0
57,5642,95,2135,7682,0
58,5642,95,2135,7682,0
59,5642,95,2135,7682,0
63,3986,35,3731,7682,1
64,5642,102,2135,7675,0
65,5642,95,2135,7682,0
66,5642,95,2135,7682,0
70,5642,95,2135,7682,0
71,5642,95,2135,7682,0
72,5642,95,2135,7682,0
73,5642,95,2135,7682,0
77,5642,95,2135,7682,0
78,5642,95,2135,7682,0
79,5642,95,2135,7682,0
80,3986,35,3731,7682,1
84,3986,35,3724,7675,1
85,5642,102,2135,7675,0
86,5642,95,2135,7682,0
87,5642,95,2135,7682,0
91,3986,35,3731,7682,1
92,5642,102,2135,7675,0
93,5642,95,2135,7682,0
94,5642,95,2135,7682,0
98,5642,95,2135,7682,0
99,5642,95,2135,7682,0
100,5642,95,2135,7682,0
101,3986,35,3731,7682,1
105,5642,102,2135,7675,0
106,3986,35,3731,7682,1
107,5642,102,2135,7675,0
108,5642,95,2135,7682,0
112,3986,35,3731,7682,1
113,5642,102,2135,7675,0
114,3986,35,3731,7682,1
115,5642,102,2135,7675,0
119,5642,95,2135,7682,0
120,5642,95,2135,7682,0
121,5642,95,2135,7682,0
122,5642,95,2135,7682,0
126,5642,95,2135,7682,0
127,5642,95,2135,7682,0
128,3986,35,3731,7682,1
129,3986,35,3724,7675,1
133,3986,35,3724,7675,1
134,3986,35,3724,7675,1
135,3986,35,3724,7675,1
136,5642,102,2135,7675,0
140,5642,95,2135,7682,0
141,3986,35,3731,7682,1
142,5642,102,2135,7675,0
143,5642,95,2135,7682,0
147,5642,95,2135,7682,0
148,5642,95,2135,7682,0
149,5642,95,2135,7682,0
150,5642,95,2135,7682,0
154,5642,95,2135,7682,0
155,5642,95,2135,7682,0
156,5642,95,2135,7682,0
157,3986,35,3731,7682,1
161,5642,102,2135,7675,0
162,5642,95,2135,7682,0
163,5642,95,2135,7682,0
164,3986,35,3731,7682,1
168,5642,102,2135,7675,0
169,5642,95,2135,7682,0
170,5642,95,2135,7682,0
171,3986,35,3731,7682,1
175,5642,102,2135,7675,0
176,5642,95,2135,7682,0
177,5642,95,2135,7682,0
178,5642,95,2135,7682,0
182,3986,35,3731,7682,1
183,5642,102,2135,7675,0
184,3986,35,3731,7682,1
185,5642,102,2135,7675,0
189,5642,95,2135,7682,0
190,5642,95,2135,7682,0
191,5642,95,2135,7682,0
192,5642,95,2135,7682,0
196,5642,95,2135,7682,0
197,5642,95,2135,7682,0
198,3986,35,3731,7682,1
199,5642,102,2135,7675,0
203,3986,35,3731,7682,1
204,5642,102,2135,7675,0
205,3986,35,3731,7682,1
206,3986,35,3724,7675,1
210,5642,102,2135,7675,0
211,5642,95,2135,7682,0
212,5642,95,2135,7682,0
213,5642,95,2135,7682,0
217,5642,95,2135,7682,0
218,3986,35,3731,7682,1
219,3986,35,3724,7675,1
220,5642,102,2135,7675,0
224,5642,95,2135,7682,0
225,5642,95,2135,7682,0
226,3986,35,3731,7682,1
227,3986,35,3724,7675,1
231,5642,102,2135,7675,0
232,5642,95,2135,7682,0
233,5642,95,2135,7682,0
234,5642,95,2135,7682,0
238,3986,35,3731,7682,1
239,5642,102,2135,7675,0
240,5642,95,2135,7682,0
241,5642,95,2135,7682,0
245,5642,95,2135,7682,0
246,5642,95,2135,7682,0
247,5642,95,2135,7682,0
248,3986,35,3731,7682,1
252,5642,102,2135,7675,0
253,5642,95,2135,7682,0
254,5642,95,2135,7682,0
255,3986,35,3731,7682,1
259,3986,35,3724,7675,1
260,5642,102,2135,7675,0
261,5642,95,2135,7682,0
262,5642,95,2135,7682,0
266,5642,95,2135,7682,0
267,3986,35,3731,7682,1
268,5642,102,2135,7675,0
269,5642,95,2135,7682,0
273,5642,95,2135,7682,0
274,3986,35,3731,7682,1
275,5642,102,2135,7675,0
276,3986,35,3731,7682,1
280,3986,35,3724,7675,1
281,3986,35,3724,7675,1
282,3986,35,3724,7675,1
283,3986,35,3724,7675,1
287,3986,35,3724,7675,1
288,5642,102,2135,7675,0
289,3986,35,3731,7682,1
290,5642,102,2135,7675,0
294,3986,35,3731,7682,1
295,3986,35,3724,7675,1
296,5642,102,2135,7675,0
297,5642,95,2135,7682,0
301,5642,95,2135,7682,0
302,3986,35,3731,7682,1
303,5642,102,2135,7675,0
304,5642,95,2135,7682,0
308,3986,35,3731,7682,1
309,5642,102,2135,7675,0
310,5642,95,2135,7682,0
311,3986,35,3731,7682,1
315,5642,102,2135,7675,0
316,5642,95,2135,7682,0
317,3986,35,3731,7682,1
318,5642,102,2135,7675,0
322,5642,95,2135,7682,0
323,5642,95,2135,7682,0
324,5642,95,2135,7682,0
325,3986,35,3731,7682,1
329,5642,102,2135,7675,0
